N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0,0,
2,Optimal,0.03,0,0
3,Optimal,0.08,0,0
4,Optimal,0.03,0,0
5,Optimal,0.03,0,0
6,Optimal,0.02,0,0
7,Optimal,0.03,0,0
8,Optimal,0.06,0,0
9,Optimal,0.03,0,0
10,Optimal,0.02,0,0
11,Optimal,0.08,0,0
12,Optimal,0.03,0,0
13,Optimal,0.08,0,0
14,Optimal,0.09,0,0
15,Optimal,0.11,0,0
16,Optimal,0.02,0,0
17,Optimal,0.06,0,0
18,Optimal,0.05,0,0
19,Optimal,0.09,0,0
20,Optimal,0.02,0,0
21,Optimal,0.03,0,0
22,Optimal,0.08,0,0
23,Optimal,0.06,0,0
24,Optimal,0.13,0,0
25,Optimal,7.38,180,180
26,Optimal,505.3,360,180
27,Optimal,196.55,540,180
28,Optimal,76.5,720,180
29,Optimal,180.08,900,180
30,Optimal,130.89,1080,180
31,Optimal,73.06,1260,180
32,Optimal,76.02,1440,180
33,Optimal,59.13,1620,180
34,Optimal,77.3,1800,180
35,Optimal,79.14,1980,180
36,Optimal,57.89,2160,180
37,Optimal,66.77,2340,180
38,Optimal,87.06,2520,180
39,Optimal,95.55,2700,180
40,Optimal,59.58,2880,180
41,Optimal,55.53,3060,180
42,Optimal,40.97,3240,180
43,Optimal,44.7,3420,180
44,Optimal,22.7,3600,180
45,Optimal,36.16,3780,180
46,Optimal,30.45,3960,180
47,Optimal,43.88,4140,180
48,Optimal,20.77,4320,180
49,Optimal,26.86,4680,360
50,Optimal,21.48,5040,360
51,Optimal,37.2,5580,540
52,Optimal,28.8,6120,540
53,Optimal,14.83,6660,540
54,Optimal,20.23,7200,540
55,Optimal,23.19,7740,540
56,Optimal,22.06,8280,540
57,Optimal,13.2,8820,540
58,Optimal,10.48,9360,540
59,Optimal,12.25,9900,540
60,Optimal,15.69,10440,540
61,Optimal,15.66,10980,540
62,Optimal,12.5,11700,720
63,Optimal,11.23,12420,720
64,Optimal,11.63,13140,720
65,Optimal,10.31,13860,720
66,Optimal,8.11,14580,720
67,Optimal,28.27,15300,720
68,Optimal,26.86,16020,720
69,Optimal,29.86,16740,720
70,Optimal,7.97,17460,720
71,Optimal,12.61,18180,720
72,Optimal,6.72,19080,900
73,Optimal,8.78,19980,900
74,Optimal,8.34,20880,900
75,Optimal,30.42,21780,900
76,Optimal,7.27,22680,900
77,Optimal,27.98,23760,1080
78,Optimal,8.77,24660,900
79,Optimal,8.72,25740,1080
80,Optimal,16.06,26640,900
81,Optimal,21.92,27720,1080
82,Optimal,10.97,28620,900
83,Optimal,13.41,29700,1080
84,Optimal,36.98,30600,900
85,Optimal,23.58,31680,1080
86,Optimal,11.09,32580,900
87,Optimal,29.52,33660,1080
88,Optimal,40.34,34560,900
89,Optimal,21.28,35640,1080
90,Optimal,11.83,36720,1080
91,Optimal,21.75,37800,1080
92,Optimal,0.09,38880,1080
93,Optimal,0.08,40320,1440
94,Optimal,0.11,41760,1440
95,Optimal,0.05,43380,1620
96,Optimal,0.06,45000,1620
97,Optimal,0.05,46620,1620
98,Optimal,0.08,48240,1620
99,Optimal,0.03,49860,1620
100,Optimal,0.09,51480,1620
101,Optimal,0.09,53280,1800
102,Optimal,0.05,55080,1800
103,Optimal,0.08,57060,1980
104,Optimal,0.08,59040,1980
105,Optimal,0.05,61020,1980
106,Optimal,0.08,63000,1980
107,Optimal,0.06,64980,1980
108,Optimal,0.08,66960,1980
109,Optimal,0.11,68940,1980
110,Optimal,0,70920,1980
