N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.09,0,=D4 - D3
4,Optimal,0.00,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.05,0,=D8 - D7
8,Optimal,0.08,0,=D9 - D8
9,Optimal,0.02,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.03,0,=D13 - D12
13,Optimal,0.03,0,=D14 - D13
14,Optimal,0.02,0,=D15 - D14
15,Optimal,0.08,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.09,0,=D19 - D18
19,Optimal,0.00,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.09,0,=D22 - D21
22,Optimal,0.09,0,=D23 - D22
23,Optimal,0.03,0,=D24 - D23
24,Optimal,0.03,0,=D25 - D24
25,Optimal,26.14,16,=D26 - D25
26,Optimal,55.23,32,=D27 - D26
27,Optimal,99.53,48,=D28 - D27
28,Optimal,112.56,64,=D29 - D28
29,Optimal,183.05,80,=D30 - D29
30,Optimal,139.31,96,=D31 - D30
31,Optimal,156.78,112,=D32 - D31
32,Optimal,111.41,128,=D33 - D32
33,Optimal,36.14,144,=D34 - D33
34,Optimal,36.61,160,=D35 - D34
35,Optimal,50.98,182,=D36 - D35
36,Optimal,35.94,204,=D37 - D36
37,Optimal,37.27,234,=D38 - D37
38,Optimal,44.95,264,=D39 - D38
39,Optimal,56.03,294,=D40 - D39
40,Optimal,30.81,324,=D41 - D40
41,Optimal,54.08,354,=D42 - D41
42,Optimal,25.64,384,=D43 - D42
43,Optimal,46.13,414,=D44 - D43
44,Optimal,33.95,444,=D45 - D44
45,Optimal,34.70,474,=D46 - D45
46,Optimal,25.14,504,=D47 - D46
47,Optimal,28.39,534,=D48 - D47
48,Optimal,27.91,564,=D49 - D48
49,Optimal,21.02,608,=D50 - D49
50,Optimal,16.08,652,=D51 - D50
51,Optimal,20.00,696,=D52 - D51
52,Optimal,27.56,740,=D53 - D52
53,Optimal,28.88,784,=D54 - D53
54,Optimal,21.44,828,=D55 - D54
55,Optimal,15.14,872,=D56 - D55
56,Optimal,10.28,916,=D57 - D56
57,Optimal,5.66,960,=D58 - D57
58,Optimal,1.81,1004,=D59 - D58
59,Optimal,2.19,1150,=D60 - D59
60,Optimal,2.20,1312,=D61 - D60
61,Optimal,2.78,1500,=D62 - D61
62,Optimal,2.61,1776,=D63 - D62
63,Optimal,4.14,2052,=D64 - D63
64,Optimal,6.05,2344,=D65 - D64
65,Optimal,11.19,2636,=D66 - D65
66,Optimal,13.41,2928,=D67 - D66
67,Optimal,9.98,3220,=D68 - D67
68,Optimal,12.02,3512,=D69 - D68
69,Optimal,9.00,3804,=D70 - D69
70,Optimal,8.03,4096,=D71 - D70
71,Optimal,11.47,4388,=D72 - D71
72,Optimal,8.05,4680,=D73 - D72
73,Optimal,10.97,4972,=D74 - D73
74,Optimal,8.23,5264,=D75 - D74
75,Optimal,6.17,5556,=D76 - D75
76,Optimal,9.16,5848,=D77 - D76
77,Optimal,6.56,6140,=D78 - D77
78,Optimal,5.98,6432,=D79 - D78
79,Optimal,4.69,6724,=D80 - D79
80,Optimal,3.11,7016,=D81 - D80
81,Optimal,2.47,7330,=D82 - D81
82,Optimal,2.20,7646,=D83 - D82
83,Optimal,2.06,7968,=D84 - D83
84,Optimal,3.06,8292,=D85 - D84
85,Optimal,2.19,8616,=D86 - D85
86,Optimal,2.22,8940,=D87 - D86
87,Optimal,17.63,9264,=D88 - D87
88,Optimal,2.13,9588,=D89 - D88
89,Optimal,1.59,9912,=D90 - D89
90,Optimal,1.19,10236,=D91 - D90
91,Optimal,1.56,10560,=D92 - D91
92,Optimal,1.25,10890,=D93 - D92
93,Optimal,0.88,11228,=D94 - D93
94,Optimal,0.80,11566,=D95 - D94
95,Optimal,1.50,11904,=D96 - D95
96,Optimal,0.61,12242,=D97 - D96
97,Optimal,0.52,12580,=D98 - D97
98,Optimal,0.88,12918,=D99 - D98
99,Optimal,0.42,13256,=D100 - D99
100,Optimal,0.05,13594,=D101 - D100
101,Optimal,0.09,13944,=D102 - D101
102,Optimal,0.09,14308,=D103 - D102
103,Optimal,0.08,14672,=D104 - D103
104,Optimal,0.05,15036,=D105 - D104
105,Optimal,0.05,15400,=D106 - D105
106,Optimal,0.06,15764,=D107 - D106
107,Optimal,0.09,16128,=D108 - D107
108,Optimal,0.06,16492,=D109 - D108
109,Optimal,0.00,16856,=D110 - D109
