N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.14,0,=D3 - D2
3,Optimal,0.13,0,=D4 - D3
4,Optimal,0.13,0,=D5 - D4
5,Optimal,0.13,0,=D6 - D5
6,Optimal,0.17,0,=D7 - D6
7,Optimal,0.14,0,=D8 - D7
8,Optimal,0.09,0,=D9 - D8
9,Optimal,0.16,0,=D10 - D9
10,Optimal,0.20,0,=D11 - D10
11,Optimal,0.19,0,=D12 - D11
12,Optimal,0.14,0,=D13 - D12
13,Optimal,0.11,0,=D14 - D13
14,Optimal,0.13,0,=D15 - D14
15,Optimal,0.17,0,=D16 - D15
16,Optimal,0.17,0,=D17 - D16
17,Optimal,0.16,0,=D18 - D17
18,Optimal,0.17,0,=D19 - D18
19,Optimal,0.16,0,=D20 - D19
20,Optimal,0.16,0,=D21 - D20
21,Optimal,0.16,0,=D22 - D21
22,Optimal,0.13,0,=D23 - D22
23,Optimal,0.19,0,=D24 - D23
24,Optimal,0.19,0,=D25 - D24
25,Optimal,0.17,0,=D26 - D25
26,Optimal,0.17,0,=D27 - D26
27,Optimal,0.13,0,=D28 - D27
28,Optimal,0.20,0,=D29 - D28
29,Optimal,0.16,0,=D30 - D29
30,Optimal,0.11,0,=D31 - D30
31,Optimal,0.17,0,=D32 - D31
32,Optimal,0.16,0,=D33 - D32
33,Optimal,0.11,0,=D34 - D33
34,Optimal,0.20,0,=D35 - D34
35,Optimal,0.16,0,=D36 - D35
36,Optimal,0.20,0,=D37 - D36
37,Optimal,0.11,0,=D38 - D37
38,Optimal,0.13,0,=D39 - D38
39,Optimal,0.17,0,=D40 - D39
40,Optimal,0.11,0,=D41 - D40
41,Optimal,0.20,0,=D42 - D41
42,Optimal,2.06,8,=D43 - D42
43,Feasible,21600.59,16,=D44 - D43
44,Feasible,21601.09,24,=D45 - D44
45,Feasible,21601.72,32,=D46 - D45
46,Feasible,21601.95,40,=D47 - D46
47,Feasible,21602.47,48,=D48 - D47
48,Feasible,21601.67,56,=D49 - D48
49,Feasible,21602.02,64,=D50 - D49
50,Feasible,21601.67,72,=D51 - D50
51,Feasible,21602.22,80,=D52 - D51
52,Feasible,21602.45,88,=D53 - D52
53,Feasible,21604.70,96,=D54 - D53
54,Feasible,21601.66,104,=D55 - D54
55,Feasible,21602.38,112,=D56 - D55
56,Feasible,21602.25,120,=D57 - D56
57,Feasible,21603.34,128,=D58 - D57
58,Feasible,21601.73,136,=D59 - D58
59,Feasible,21602.67,144,=D60 - D59
60,Feasible,21601.98,152,=D61 - D60
61,Feasible,21602.23,160,=D62 - D61
62,Feasible,21601.69,168,=D63 - D62
63,Feasible,21602.08,182,=D64 - D63
64,Feasible,21601.83,196,=D65 - D64
65,Feasible,21601.17,210,=D66 - D65
66,Feasible,21601.92,224,=D67 - D66
67,Feasible,21610.53,238,=D68 - D67
68,Feasible,21600.39,252,=D69 - D68
69,Feasible,21604.53,266,=D70 - D69
70,Feasible,21605.89,280,=D71 - D70
71,Feasible,21605.84,294,=D72 - D71
72,Feasible,21614.19,308,=D73 - D72
73,Feasible,21613.48,322,=D74 - D73
74,Feasible,21607.38,336,=D75 - D74
75,Optimal,3489.42,350,=D76 - D75
76,Optimal,2511.86,364,=D77 - D76
77,Optimal,9947.08,380,=D78 - D77
78,Optimal,4730.58,396,=D79 - D78
79,Optimal,3355.45,412,=D80 - D79
80,Optimal,10650.11,434,=D81 - D80
81,Feasible,21606.61,456,=D82 - D81
82,Feasible,21606.17,478,=D83 - D82
83,Feasible,21609.22,500,=D84 - D83
84,Feasible,21603.72,522,=D85 - D84
85,Feasible,21605.91,544,=D86 - D85
86,Feasible,21607.70,566,=D87 - D86
87,Feasible,21610.00,588,=D88 - D87
88,Feasible,21605.86,610,=D89 - D88
89,Feasible,21604.81,632,=D90 - D89
90,Feasible,21604.98,654,=D91 - D90
91,Feasible,21605.55,676,=D92 - D91
92,Feasible,21605.98,698,=D93 - D92
93,Optimal,7253.50,722,=D94 - D93
94,Optimal,14174.36,746,=D95 - D94
95,Optimal,8546.81,770,=D96 - D95
96,Feasible,21607.88,794,=D97 - D96
97,Optimal,12393.03,818,=D98 - D97
98,Optimal,10162.27,842,=D99 - D98
99,Optimal,9654.27,866,=D100 - D99
100,Optimal,9835.78,890,=D101 - D100
101,Optimal,9861.67,914,=D102 - D101
102,Optimal,8975.16,938,=D103 - D102
103,Optimal,6203.42,962,=D104 - D103
104,Optimal,2016.33,986,=D105 - D104
105,Optimal,2164.88,1010,=D106 - D105
106,Optimal,558.64,1034,=D107 - D106
107,Optimal,625.55,1058,=D108 - D107
108,Optimal,1015.67,1082,=D109 - D108
109,Optimal,240.48,1110,=D110 - D109
110,Optimal,342.11,1138,=D111 - D110
111,Optimal,265.38,1166,=D112 - D111
112,Optimal,255.30,1194,=D113 - D112
113,Optimal,187.84,1226,=D114 - D113
114,Optimal,185.73,1258,=D115 - D114
115,Optimal,158.48,1290,=D116 - D115
116,Optimal,128.70,1322,=D117 - D116
117,Optimal,144.88,1366,=D118 - D117
118,Optimal,160.13,1410,=D119 - D118
119,Optimal,193.91,1454,=D120 - D119
120,Optimal,131.55,1498,=D121 - D120
121,Optimal,134.28,1542,=D122 - D121
122,Optimal,144.56,1586,=D123 - D122
123,Optimal,135.52,1632,=D124 - D123
124,Optimal,164.67,1678,=D125 - D124
125,Optimal,122.38,1724,=D126 - D125
126,Optimal,149.73,1770,=D127 - D126
127,Optimal,137.08,1816,=D128 - D127
128,Optimal,141.75,1862,=D129 - D128
129,Optimal,166.63,1908,=D130 - D129
130,Optimal,142.13,1954,=D131 - D130
131,Optimal,162.73,2000,=D132 - D131
132,Optimal,128.73,2046,=D133 - D132
133,Optimal,125.66,2092,=D134 - D133
134,Optimal,156.48,2138,=D135 - D134
135,Optimal,110.16,2184,=D136 - D135
136,Optimal,93.42,2244,=D137 - D136
137,Optimal,95.75,2304,=D138 - D137
138,Optimal,101.03,2364,=D139 - D138
139,Optimal,94.42,2424,=D140 - D139
140,Optimal,96.97,2484,=D141 - D140
141,Optimal,110.14,2544,=D142 - D141
142,Optimal,112.02,2604,=D143 - D142
143,Optimal,94.42,2664,=D144 - D143
144,Optimal,108.36,2724,=D145 - D144
145,Optimal,100.30,2784,=D146 - D145
146,Optimal,93.98,2844,=D147 - D146
147,Optimal,81.31,2904,=D148 - D147
148,Optimal,80.92,2964,=D149 - D148
149,Optimal,82.83,3024,=D150 - D149
150,Optimal,76.69,3084,=D151 - D150
151,Optimal,65.67,3144,=D152 - D151
152,Optimal,67.97,3212,=D153 - D152
153,Optimal,61.39,3280,=D154 - D153
154,Optimal,57.77,3348,=D155 - D154
155,Optimal,53.11,3452,=D156 - D155
156,Optimal,46.64,3556,=D157 - D156
157,Optimal,54.72,3660,=D158 - D157
158,Optimal,51.36,3782,=D159 - D158
159,Optimal,64.78,3928,=D160 - D159
160,Optimal,73.53,4074,=D161 - D160
161,Optimal,85.19,4220,=D162 - D161
162,Optimal,62.27,4366,=D163 - D162
163,Optimal,71.59,4528,=D164 - D163
164,Optimal,64.81,4690,=D165 - D164
165,Optimal,77.92,4858,=D166 - D165
166,Optimal,70.25,5026,=D167 - D166
167,Optimal,68.84,5194,=D168 - D167
168,Optimal,62.08,5362,=D169 - D168
169,Optimal,57.25,5540,=D170 - D169
170,Optimal,52.02,5726,=D171 - D170
171,Optimal,53.72,5912,=D172 - D171
172,Optimal,46.44,6104,=D173 - D172
173,Optimal,45.42,6298,=D174 - D173
174,Optimal,49.17,6520,=D175 - D174
175,Optimal,37.13,6756,=D176 - D175
176,Optimal,34.02,6992,=D177 - D176
177,Optimal,43.41,7276,=D178 - D177
178,Optimal,47.66,7568,=D179 - D178
179,Optimal,47.31,7860,=D180 - D179
180,Optimal,49.78,8152,=D181 - D180
181,Optimal,53.47,8444,=D182 - D181
182,Optimal,52.28,8736,=D183 - D182
183,Optimal,53.25,9028,=D184 - D183
184,Optimal,53.03,9320,=D185 - D184
185,Optimal,54.77,9612,=D186 - D185
186,Optimal,56.86,9904,=D187 - D186
187,Optimal,57.20,10196,=D188 - D187
188,Optimal,58.03,10488,=D189 - D188
189,Optimal,55.88,10780,=D190 - D189
190,Optimal,49.80,11072,=D191 - D190
191,Optimal,55.14,11364,=D192 - D191
192,Optimal,50.05,11656,=D193 - D192
193,Optimal,46.56,11948,=D194 - D193
194,Optimal,47.50,12240,=D195 - D194
195,Optimal,54.13,12532,=D196 - D195
196,Optimal,59.56,12824,=D197 - D196
197,Optimal,48.13,13116,=D198 - D197
198,Optimal,52.64,13408,=D199 - D198
199,Optimal,50.06,13700,=D200 - D199
200,Optimal,50.69,13992,=D201 - D200
201,Optimal,46.05,14284,=D202 - D201
202,Optimal,42.44,14576,=D203 - D202
203,Optimal,41.33,14890,=D204 - D203
204,Optimal,38.14,15212,=D205 - D204
205,Optimal,41.91,15534,=D206 - D205
206,Optimal,44.13,15856,=D207 - D206
207,Optimal,41.97,16178,=D208 - D207
208,Optimal,43.14,16500,=D209 - D208
209,Optimal,39.77,16822,=D210 - D209
210,Optimal,41.98,17144,=D211 - D210
211,Optimal,39.59,17466,=D212 - D211
212,Optimal,41.59,17788,=D213 - D212
213,Optimal,37.77,18110,=D214 - D213
214,Optimal,35.86,18432,=D215 - D214
215,Optimal,29.80,18754,=D216 - D215
216,Optimal,34.75,19076,=D217 - D216
217,Optimal,34.80,19398,=D218 - D217
218,Optimal,32.22,19720,=D219 - D218
219,Optimal,29.45,20042,=D220 - D219
220,Optimal,28.70,20364,=D221 - D220
221,Optimal,29.00,20686,=D222 - D221
222,Optimal,30.97,21008,=D223 - D222
223,Optimal,34.64,21330,=D224 - D223
224,Optimal,30.61,21652,=D225 - D224
225,Optimal,26.33,21974,=D226 - D225
226,Optimal,26.59,22296,=D227 - D226
227,Optimal,23.47,22618,=D228 - D227
228,Optimal,25.44,22940,=D229 - D228
229,Optimal,20.58,23264,=D230 - D229
230,Optimal,18.42,23596,=D231 - D230
231,Optimal,17.50,23936,=D232 - D231
232,Optimal,19.05,24276,=D233 - D232
233,Optimal,16.64,24616,=D234 - D233
234,Optimal,20.22,24956,=D235 - D234
235,Optimal,16.27,25296,=D236 - D235
236,Optimal,14.88,25636,=D237 - D236
237,Optimal,13.05,25976,=D238 - D237
238,Optimal,14.28,26316,=D239 - D238
239,Optimal,12.03,26656,=D240 - D239
240,Optimal,11.98,26996,=D241 - D240
241,Optimal,8.83,27336,=D242 - D241
242,Optimal,7.58,27684,=D243 - D242
243,Optimal,9.13,28032,=D244 - D243
244,Optimal,10.36,28380,=D245 - D244
