N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.03,0,=D4 - D3
4,Optimal,0.09,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.03,0,=D13 - D12
13,Optimal,0.08,0,=D14 - D13
14,Optimal,0.02,0,=D15 - D14
15,Optimal,0.08,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.09,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.09,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.08,0,=D22 - D21
22,Optimal,0.08,0,=D23 - D22
23,Optimal,0.03,0,=D24 - D23
24,Optimal,2.30,8,=D25 - D24
25,Optimal,2129.63,22,=D26 - D25
26,Optimal,1245.06,36,=D27 - D26
27,Optimal,1691.59,50,=D28 - D27
28,Optimal,899.94,64,=D29 - D28
29,Optimal,506.23,78,=D30 - D29
30,Optimal,410.86,92,=D31 - D30
31,Optimal,485.94,106,=D32 - D31
32,Optimal,406.81,120,=D33 - D32
33,Optimal,892.83,134,=D34 - D33
34,Optimal,790.14,148,=D35 - D34
35,Optimal,798.25,162,=D36 - D35
36,Optimal,189.78,184,=D37 - D36
37,Optimal,177.13,206,=D38 - D37
38,Optimal,89.36,228,=D39 - D38
39,Optimal,96.00,250,=D40 - D39
40,Optimal,74.83,272,=D41 - D40
41,Optimal,84.42,294,=D42 - D41
42,Optimal,88.56,316,=D43 - D42
43,Optimal,133.70,338,=D44 - D43
44,Optimal,89.50,360,=D45 - D44
45,Optimal,113.31,382,=D46 - D45
46,Optimal,72.86,404,=D47 - D46
47,Optimal,37.77,426,=D48 - D47
48,Optimal,80.66,456,=D49 - D48
49,Optimal,77.77,494,=D50 - D49
50,Optimal,48.69,532,=D51 - D50
51,Optimal,53.53,570,=D52 - D51
52,Optimal,48.66,608,=D53 - D52
53,Optimal,39.25,646,=D54 - D53
54,Optimal,43.39,684,=D55 - D54
55,Optimal,42.91,722,=D56 - D55
56,Optimal,52.06,760,=D57 - D56
57,Optimal,28.63,798,=D58 - D57
58,Optimal,23.48,844,=D59 - D58
59,Optimal,33.61,890,=D60 - D59
60,Optimal,30.31,936,=D61 - D60
61,Optimal,22.81,982,=D62 - D61
62,Optimal,25.20,1028,=D63 - D62
63,Optimal,20.63,1074,=D64 - D63
64,Optimal,15.58,1120,=D65 - D64
65,Optimal,7.88,1166,=D66 - D65
66,Optimal,4.31,1212,=D67 - D66
67,Optimal,5.33,1388,=D68 - D67
68,Optimal,4.11,1564,=D69 - D68
69,Optimal,4.42,1740,=D70 - D69
70,Optimal,3.92,1916,=D71 - D70
71,Optimal,3.14,2176,=D72 - D71
72,Optimal,6.53,2436,=D73 - D72
73,Optimal,6.97,2726,=D74 - D73
74,Optimal,9.38,3018,=D75 - D74
75,Optimal,10.69,3310,=D76 - D75
76,Optimal,8.78,3602,=D77 - D76
77,Optimal,9.58,3894,=D78 - D77
78,Optimal,8.34,4186,=D79 - D78
79,Optimal,9.55,4478,=D80 - D79
80,Optimal,8.78,4770,=D81 - D80
81,Optimal,8.95,5062,=D82 - D81
82,Optimal,8.38,5354,=D83 - D82
83,Optimal,8.25,5646,=D84 - D83
84,Optimal,7.92,5938,=D85 - D84
85,Optimal,9.17,6230,=D86 - D85
86,Optimal,6.98,6522,=D87 - D86
87,Optimal,7.17,6814,=D88 - D87
88,Optimal,6.17,7112,=D89 - D88
89,Optimal,7.38,7432,=D90 - D89
90,Optimal,8.83,7752,=D91 - D90
91,Optimal,12.33,8080,=D92 - D91
92,Optimal,10.92,8408,=D93 - D92
93,Optimal,11.44,8742,=D94 - D93
94,Optimal,15.08,9076,=D95 - D94
95,Optimal,12.91,9410,=D96 - D95
96,Optimal,14.86,9744,=D97 - D96
97,Optimal,13.19,10078,=D98 - D97
98,Optimal,16.81,10412,=D99 - D98
99,Optimal,13.22,10746,=D100 - D99
100,Optimal,16.17,11088,=D101 - D100
101,Optimal,15.94,11430,=D102 - D101
102,Optimal,14.20,11772,=D103 - D102
103,Optimal,13.25,12114,=D104 - D103
104,Optimal,10.42,12456,=D105 - D104
105,Optimal,11.17,12798,=D106 - D105
106,Optimal,8.38,13140,=D107 - D106
107,Optimal,6.89,13486,=D108 - D107
108,Optimal,4.50,13832,=D109 - D108
109,Optimal,3.50,14186,=D110 - D109
110,Optimal,4.41,14540,=D111 - D110
111,Optimal,3.38,14902,=D112 - D111
112,Optimal,5.16,15264,=D113 - D112
113,Optimal,4.61,15626,=D114 - D113
114,Optimal,6.42,15988,=D115 - D114
115,Optimal,3.36,16350,=D116 - D115
116,Optimal,2.02,16712,=D117 - D116
117,Optimal,0.19,17074,=D118 - D117
118,Optimal,0.08,17444,=D119 - D118
119,Optimal,0.08,17814,=D120 - D119
120,Optimal,0.20,18184,=D121 - D120
121,Optimal,0.11,18554,=D122 - D121
122,Optimal,0.14,18924,=D123 - D122
123,Optimal,0.08,19294,=D124 - D123
124,Optimal,0.02,19664,=D125 - D124
