N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.11,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.05,0,=D5 - D4
5,Optimal,0.06,0,=D6 - D5
6,Optimal,0.06,0,=D7 - D6
7,Optimal,0.05,0,=D8 - D7
8,Optimal,0.06,0,=D9 - D8
9,Optimal,0.11,0,=D10 - D9
10,Optimal,0.06,0,=D11 - D10
11,Optimal,0.08,0,=D12 - D11
12,Optimal,0.05,0,=D13 - D12
13,Optimal,0.05,0,=D14 - D13
14,Optimal,0.11,0,=D15 - D14
15,Optimal,0.11,0,=D16 - D15
16,Optimal,0.05,0,=D17 - D16
17,Optimal,0.06,0,=D18 - D17
18,Optimal,0.05,0,=D19 - D18
19,Optimal,0.11,0,=D20 - D19
20,Optimal,0.05,0,=D21 - D20
21,Optimal,0.05,0,=D22 - D21
22,Optimal,0.11,0,=D23 - D22
23,Optimal,0.08,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,0.11,0,=D26 - D25
26,Optimal,0.09,0,=D27 - D26
27,Optimal,0.03,0,=D28 - D27
28,Optimal,0.05,0,=D29 - D28
29,Optimal,30.00,14,=D30 - D29
30,Feasible,21600.59,28,=D31 - D30
31,Feasible,21600.23,42,=D32 - D31
32,Feasible,21600.23,56,=D33 - D32
33,Feasible,21600.28,70,=D34 - D33
34,Feasible,21600.20,84,=D35 - D34
35,Feasible,21600.23,98,=D36 - D35
36,Feasible,21600.23,112,=D37 - D36
37,Feasible,21600.23,126,=D38 - D37
38,Feasible,21600.22,140,=D39 - D38
39,Feasible,21600.22,154,=D40 - D39
40,Feasible,21600.38,168,=D41 - D40
41,Feasible,21603.20,182,=D42 - D41
42,Feasible,21600.23,196,=D43 - D42
43,Optimal,394.80,218,=D44 - D43
44,Optimal,391.39,240,=D45 - D44
45,Optimal,530.02,262,=D46 - D45
46,Optimal,532.09,284,=D47 - D46
47,Optimal,763.58,306,=D48 - D47
48,Optimal,2057.88,328,=D49 - D48
49,Optimal,751.69,350,=D50 - D49
50,Optimal,564.94,372,=D51 - D50
51,Optimal,285.48,394,=D52 - D51
52,Optimal,666.42,416,=D53 - D52
53,Optimal,764.81,438,=D54 - D53
54,Optimal,281.73,460,=D55 - D54
55,Optimal,657.38,482,=D56 - D55
56,Optimal,314.56,504,=D57 - D56
57,Optimal,716.08,542,=D58 - D57
58,Optimal,659.42,580,=D59 - D58
59,Optimal,875.88,618,=D60 - D59
60,Optimal,362.86,656,=D61 - D60
61,Optimal,668.13,694,=D62 - D61
