N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.06,0,=D3 - D2
3,Optimal,0.14,0,=D4 - D3
4,Optimal,0.06,0,=D5 - D4
5,Optimal,0.06,0,=D6 - D5
6,Optimal,0.13,0,=D7 - D6
7,Optimal,0.11,0,=D8 - D7
8,Optimal,0.13,0,=D9 - D8
9,Optimal,0.09,0,=D10 - D9
10,Optimal,0.13,0,=D11 - D10
11,Optimal,0.06,0,=D12 - D11
12,Optimal,0.05,0,=D13 - D12
13,Optimal,0.08,0,=D14 - D13
14,Optimal,0.09,0,=D15 - D14
15,Optimal,0.08,0,=D16 - D15
16,Optimal,0.06,0,=D17 - D16
17,Optimal,0.06,0,=D18 - D17
18,Optimal,0.05,0,=D19 - D18
19,Optimal,0.13,0,=D20 - D19
20,Optimal,0.05,0,=D21 - D20
21,Optimal,0.08,0,=D22 - D21
22,Optimal,0.08,0,=D23 - D22
23,Optimal,0.06,0,=D24 - D23
24,Optimal,0.05,0,=D25 - D24
25,Optimal,0.06,0,=D26 - D25
26,Optimal,0.09,0,=D27 - D26
27,Optimal,0.05,0,=D28 - D27
28,Optimal,0.06,0,=D29 - D28
29,Optimal,0.03,0,=D30 - D29
30,Optimal,0.09,0,=D31 - D30
31,Optimal,0.05,0,=D32 - D31
32,Optimal,0.05,0,=D33 - D32
33,Optimal,0.14,0,=D34 - D33
34,Optimal,0.09,0,=D35 - D34
35,Optimal,0.06,0,=D36 - D35
36,Optimal,0.08,0,=D37 - D36
37,Optimal,0.06,0,=D38 - D37
38,Optimal,10.20,8,=D39 - D38
39,Feasible,21600.72,22,=D40 - D39
40,Feasible,21600.28,36,=D41 - D40
41,Feasible,21600.36,50,=D42 - D41
42,Feasible,21600.19,64,=D43 - D42
43,Feasible,21600.33,78,=D44 - D43
44,Optimal,16863.17,92,=D45 - D44
45,Feasible,21600.23,106,=D46 - D45
46,Feasible,21600.25,120,=D47 - D46
47,Feasible,21622.20,134,=D48 - D47
48,Feasible,21609.58,148,=D49 - D48
49,Feasible,21601.22,162,=D50 - D49
50,Feasible,21602.95,176,=D51 - D50
51,Feasible,21602.88,190,=D52 - D51
52,Optimal,213.70,204,=D53 - D52
53,Optimal,205.28,218,=D54 - D53
54,Optimal,84.41,232,=D55 - D54
55,Optimal,223.05,246,=D56 - D55
56,Optimal,716.66,260,=D57 - D56
57,Optimal,134.30,282,=D58 - D57
58,Optimal,105.97,304,=D59 - D58
59,Optimal,103.84,326,=D60 - D59
60,Optimal,152.47,348,=D61 - D60
61,Optimal,140.91,370,=D62 - D61
62,Optimal,130.50,392,=D63 - D62
63,Optimal,117.16,414,=D64 - D63
64,Optimal,112.00,436,=D65 - D64
65,Optimal,132.81,458,=D66 - D65
66,Optimal,149.16,480,=D67 - D66
67,Optimal,132.06,502,=D68 - D67
68,Optimal,137.55,524,=D69 - D68
69,Optimal,147.55,546,=D70 - D69
70,Optimal,160.19,568,=D71 - D70
71,Optimal,91.94,590,=D72 - D71
72,Optimal,140.02,612,=D73 - D72
73,Optimal,62.09,634,=D74 - D73
74,Optimal,65.22,656,=D75 - D74
75,Optimal,54.09,684,=D76 - D75
76,Optimal,54.64,722,=D77 - D76
77,Optimal,111.89,760,=D78 - D77
78,Optimal,58.64,798,=D79 - D78
79,Optimal,65.53,836,=D80 - D79
80,Optimal,54.66,874,=D81 - D80
81,Optimal,53.30,912,=D82 - D81
82,Optimal,82.67,950,=D83 - D82
83,Optimal,97.11,988,=D84 - D83
84,Optimal,57.17,1026,=D85 - D84
85,Optimal,66.58,1064,=D86 - D85
86,Optimal,175.52,1102,=D87 - D86
87,Optimal,165.69,1140,=D88 - D87
88,Optimal,122.73,1178,=D89 - D88
89,Optimal,162.83,1216,=D90 - D89
90,Optimal,42.31,1254,=D91 - D90
