N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.13,0,=D3 - D2
3,Optimal,0.13,0,=D4 - D3
4,Optimal,0.11,0,=D5 - D4
5,Optimal,0.11,0,=D6 - D5
6,Optimal,0.06,0,=D7 - D6
7,Optimal,0.05,0,=D8 - D7
8,Optimal,0.08,0,=D9 - D8
9,Optimal,0.06,0,=D10 - D9
10,Optimal,0.13,0,=D11 - D10
11,Optimal,0.06,0,=D12 - D11
12,Optimal,0.14,0,=D13 - D12
13,Optimal,0.11,0,=D14 - D13
14,Optimal,0.09,0,=D15 - D14
15,Optimal,0.06,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.06,0,=D18 - D17
18,Optimal,0.11,0,=D19 - D18
19,Optimal,0.06,0,=D20 - D19
20,Optimal,0.11,0,=D21 - D20
21,Optimal,0.06,0,=D22 - D21
22,Optimal,0.13,0,=D23 - D22
23,Optimal,0.11,0,=D24 - D23
24,Optimal,0.09,0,=D25 - D24
25,Optimal,0.08,0,=D26 - D25
26,Optimal,0.11,0,=D27 - D26
27,Optimal,0.06,0,=D28 - D27
28,Optimal,0.03,0,=D29 - D28
29,Optimal,0.05,0,=D30 - D29
30,Optimal,0.13,0,=D31 - D30
31,Optimal,0.19,0,=D32 - D31
32,Optimal,0.09,0,=D33 - D32
33,Optimal,0.06,0,=D34 - D33
34,Optimal,0.06,0,=D35 - D34
35,Optimal,0.14,0,=D36 - D35
36,Optimal,0.06,0,=D37 - D36
37,Optimal,0.19,0,=D38 - D37
38,Optimal,1.16,8,=D39 - D38
39,Feasible,21600.27,22,=D40 - D39
40,Feasible,21600.23,36,=D41 - D40
41,Feasible,21600.19,50,=D42 - D41
42,Feasible,21600.31,64,=D43 - D42
43,Feasible,21600.42,78,=D44 - D43
44,Feasible,21600.31,92,=D45 - D44
45,Feasible,21600.38,106,=D46 - D45
46,Feasible,21600.34,120,=D47 - D46
47,Feasible,21600.55,134,=D48 - D47
48,Feasible,21601.58,148,=D49 - D48
49,Feasible,21637.27,162,=D50 - D49
50,Feasible,21623.28,176,=D51 - D50
51,Feasible,21616.44,190,=D52 - D51
52,Feasible,21620.11,204,=D53 - D52
53,Optimal,242.83,218,=D54 - D53
54,Optimal,462.38,232,=D55 - D54
55,Feasible,21605.55,246,=D56 - D55
