N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.08,0,=D3 - D2
3,Optimal,0.06,0,=D4 - D3
4,Optimal,0.09,0,=D5 - D4
5,Optimal,0.09,0,=D6 - D5
6,Optimal,0.09,0,=D7 - D6
7,Optimal,0.08,0,=D8 - D7
8,Optimal,0.06,0,=D9 - D8
9,Optimal,0.11,0,=D10 - D9
10,Optimal,0.08,0,=D11 - D10
11,Optimal,0.05,0,=D12 - D11
12,Optimal,0.05,0,=D13 - D12
13,Optimal,0.06,0,=D14 - D13
14,Optimal,0.05,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.09,0,=D18 - D17
18,Optimal,0.06,0,=D19 - D18
19,Optimal,0.14,0,=D20 - D19
20,Optimal,0.14,0,=D21 - D20
21,Optimal,0.20,0,=D22 - D21
22,Optimal,0.13,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.16,0,=D25 - D24
25,Optimal,0.19,0,=D26 - D25
26,Optimal,0.17,0,=D27 - D26
27,Optimal,0.17,0,=D28 - D27
28,Optimal,0.17,0,=D29 - D28
29,Optimal,0.19,0,=D30 - D29
30,Optimal,0.11,0,=D31 - D30
31,Optimal,0.11,0,=D32 - D31
32,Optimal,23.73,14,=D33 - D32
33,Feasible,21600.27,28,=D34 - D33
34,Feasible,21600.22,42,=D35 - D34
35,Feasible,21600.30,56,=D36 - D35
36,Feasible,21600.33,70,=D37 - D36
37,Feasible,21600.19,84,=D38 - D37
38,Feasible,21600.20,98,=D39 - D38
39,Optimal,13607.20,112,=D40 - D39
40,Optimal,13086.80,126,=D41 - D40
41,Feasible,21600.48,140,=D42 - D41
42,Feasible,21600.27,154,=D43 - D42
43,Feasible,21600.30,168,=D44 - D43
44,Feasible,21600.38,182,=D45 - D44
45,Optimal,222.59,196,=D46 - D45
46,Optimal,221.00,210,=D47 - D46
47,Optimal,193.84,224,=D48 - D47
48,Optimal,267.63,246,=D49 - D48
49,Optimal,161.73,268,=D50 - D49
50,Optimal,292.08,290,=D51 - D50
51,Optimal,141.19,312,=D52 - D51
52,Optimal,84.30,334,=D53 - D52
53,Optimal,140.50,356,=D54 - D53
54,Optimal,110.09,378,=D55 - D54
55,Optimal,111.33,400,=D56 - D55
56,Optimal,296.02,422,=D57 - D56
57,Optimal,160.89,444,=D58 - D57
58,Optimal,106.31,466,=D59 - D58
59,Optimal,99.81,488,=D60 - D59
60,Optimal,117.61,510,=D61 - D60
61,Optimal,115.56,532,=D62 - D61
62,Optimal,104.98,554,=D63 - D62
63,Optimal,55.02,592,=D64 - D63
64,Optimal,63.14,630,=D65 - D64
65,Optimal,111.25,668,=D66 - D65
66,Optimal,73.73,706,=D67 - D66
67,Optimal,66.34,744,=D68 - D67
68,Optimal,52.27,782,=D69 - D68
69,Optimal,57.95,820,=D70 - D69
70,Optimal,61.88,858,=D71 - D70
71,Optimal,120.19,896,=D72 - D71
72,Optimal,108.97,934,=D73 - D72
73,Optimal,66.70,972,=D74 - D73
74,Optimal,104.42,1010,=D75 - D74
75,Optimal,44.47,1048,=D76 - D75
76,Optimal,41.09,1094,=D77 - D76
77,Optimal,42.94,1140,=D78 - D77
78,Optimal,44.86,1186,=D79 - D78
79,Optimal,46.94,1232,=D80 - D79
80,Optimal,47.42,1278,=D81 - D80
81,Optimal,34.28,1324,=D82 - D81
82,Optimal,43.44,1370,=D83 - D82
83,Optimal,39.98,1416,=D84 - D83
84,Optimal,30.27,1462,=D85 - D84
85,Optimal,32.14,1508,=D86 - D85
86,Optimal,22.34,1554,=D87 - D86
87,Optimal,15.36,1600,=D88 - D87
88,Optimal,8.08,1646,=D89 - D88
89,Optimal,9.55,1776,=D90 - D89
90,Optimal,7.45,1906,=D91 - D90
91,Optimal,11.19,2058,=D92 - D91
92,Optimal,5.52,2212,=D93 - D92
93,Optimal,6.89,2372,=D94 - D93
94,Optimal,6.05,2540,=D95 - D94
95,Optimal,6.22,2730,=D96 - D95
96,Optimal,5.52,2938,=D97 - D96
97,Optimal,7.31,3198,=D98 - D97
98,Optimal,8.27,3458,=D99 - D98
99,Optimal,13.06,3748,=D100 - D99
100,Optimal,19.42,4040,=D101 - D100
101,Optimal,17.06,4332,=D102 - D101
102,Optimal,11.80,4624,=D103 - D102
103,Optimal,15.05,4916,=D104 - D103
104,Optimal,14.92,5208,=D105 - D104
105,Optimal,14.59,5500,=D106 - D105
106,Optimal,14.70,5792,=D107 - D106
107,Optimal,15.36,6084,=D108 - D107
108,Optimal,13.67,6376,=D109 - D108
109,Optimal,13.39,6668,=D110 - D109
110,Optimal,12.75,6960,=D111 - D110
111,Optimal,16.50,7252,=D112 - D111
112,Optimal,14.88,7544,=D113 - D112
113,Optimal,12.84,7836,=D114 - D113
114,Optimal,13.67,8128,=D115 - D114
115,Optimal,14.06,8420,=D116 - D115
116,Optimal,13.67,8712,=D117 - D116
117,Optimal,12.17,9004,=D118 - D117
118,Optimal,13.58,9296,=D119 - D118
119,Optimal,12.38,9588,=D120 - D119
120,Optimal,13.94,9880,=D121 - D120
121,Optimal,11.36,10172,=D122 - D121
122,Optimal,8.47,10470,=D123 - D122
123,Optimal,10.66,10790,=D124 - D123
124,Optimal,12.38,11124,=D125 - D124
125,Optimal,12.11,11458,=D126 - D125
126,Optimal,12.78,11792,=D127 - D126
127,Optimal,16.06,12126,=D128 - D127
128,Optimal,12.97,12460,=D129 - D128
129,Optimal,16.73,12794,=D130 - D129
130,Optimal,15.31,13128,=D131 - D130
131,Optimal,15.63,13462,=D132 - D131
132,Optimal,14.14,13796,=D133 - D132
133,Optimal,17.14,14130,=D134 - D133
134,Optimal,16.59,14464,=D135 - D134
135,Optimal,14.41,14802,=D136 - D135
136,Optimal,17.63,15144,=D137 - D136
137,Optimal,16.63,15486,=D138 - D137
138,Optimal,18.66,15828,=D139 - D138
139,Optimal,19.14,16170,=D140 - D139
140,Optimal,16.08,16512,=D141 - D140
141,Optimal,17.48,16854,=D142 - D141
142,Optimal,13.06,17196,=D143 - D142
143,Optimal,14.81,17538,=D144 - D143
144,Optimal,41.48,17880,=D145 - D144
145,Optimal,9.63,18222,=D146 - D145
146,Optimal,8.22,18564,=D147 - D146
147,Optimal,7.44,18926,=D148 - D147
148,Optimal,7.67,19288,=D149 - D148
149,Optimal,17.34,19650,=D150 - D149
150,Optimal,13.73,20012,=D151 - D150
151,Optimal,3.34,20374,=D152 - D151
152,Optimal,4.19,20736,=D153 - D152
153,Optimal,13.61,21098,=D154 - D153
154,Optimal,7.19,21460,=D155 - D154
155,Optimal,11.41,21822,=D156 - D155
156,Optimal,4.19,22184,=D157 - D156
157,Optimal,0.39,22546,=D158 - D157
158,Optimal,0.22,22916,=D159 - D158
159,Optimal,0.50,23286,=D160 - D159
160,Optimal,0.44,23656,=D161 - D160
161,Optimal,0.47,24026,=D162 - D161
162,Optimal,0.23,24396,=D163 - D162
163,Optimal,0.16,24766,=D164 - D163
164,Optimal,0.09,25136,=D165 - D164
165,Optimal,0.16,25506,=D166 - D165
166,Optimal,0.14,25876,=D167 - D166
167,Optimal,0.14,26246,=D168 - D167
168,Optimal,0.03,26616,=D169 - D168
