N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.13,0,=D3 - D2
3,Optimal,0.08,0,=D4 - D3
4,Optimal,0.06,0,=D5 - D4
5,Optimal,0.08,0,=D6 - D5
6,Optimal,0.06,0,=D7 - D6
7,Optimal,0.11,0,=D8 - D7
8,Optimal,0.09,0,=D9 - D8
9,Optimal,0.16,0,=D10 - D9
10,Optimal,0.14,0,=D11 - D10
11,Optimal,0.09,0,=D12 - D11
12,Optimal,0.06,0,=D13 - D12
13,Optimal,0.14,0,=D14 - D13
14,Optimal,0.08,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.06,0,=D17 - D16
17,Optimal,0.06,0,=D18 - D17
18,Optimal,0.08,0,=D19 - D18
19,Optimal,0.13,0,=D20 - D19
20,Optimal,0.19,0,=D21 - D20
21,Optimal,0.17,0,=D22 - D21
22,Optimal,0.16,0,=D23 - D22
23,Optimal,0.16,0,=D24 - D23
24,Optimal,0.19,0,=D25 - D24
25,Optimal,0.19,0,=D26 - D25
26,Optimal,0.16,0,=D27 - D26
27,Optimal,0.17,0,=D28 - D27
28,Optimal,0.22,0,=D29 - D28
29,Optimal,0.14,0,=D30 - D29
30,Optimal,0.17,0,=D31 - D30
31,Optimal,0.13,0,=D32 - D31
32,Optimal,0.17,0,=D33 - D32
33,Optimal,0.19,0,=D34 - D33
34,Optimal,0.20,0,=D35 - D34
35,Optimal,0.20,0,=D36 - D35
36,Optimal,0.19,0,=D37 - D36
37,Optimal,0.14,0,=D38 - D37
38,Optimal,1.53,8,=D39 - D38
39,Feasible,21600.25,16,=D40 - D39
40,Feasible,21600.14,24,=D41 - D40
41,Feasible,21600.38,32,=D42 - D41
42,Feasible,21600.27,40,=D43 - D42
43,Feasible,21600.25,48,=D44 - D43
44,Feasible,21600.20,56,=D45 - D44
45,Feasible,21600.33,64,=D46 - D45
46,Feasible,21602.22,72,=D47 - D46
47,Feasible,21600.84,80,=D48 - D47
48,Feasible,21601.81,88,=D49 - D48
49,Feasible,21600.86,96,=D50 - D49
50,Feasible,21602.61,104,=D51 - D50
51,Feasible,21600.47,112,=D52 - D51
52,Feasible,21602.22,120,=D53 - D52
53,Feasible,21601.16,128,=D54 - D53
54,Feasible,21603.80,136,=D55 - D54
55,Feasible,21601.30,150,=D56 - D55
56,Feasible,21627.77,164,=D57 - D56
57,Feasible,21602.30,178,=D58 - D57
58,Feasible,21617.69,194,=D59 - D58
59,Optimal,346.95,210,=D60 - D59
60,Feasible,21613.64,226,=D61 - D60
61,Optimal,598.28,242,=D62 - D61
62,Optimal,517.33,258,=D63 - D62
63,Optimal,495.03,274,=D64 - D63
64,Optimal,480.34,290,=D65 - D64
65,Optimal,494.06,306,=D66 - D65
66,Optimal,545.13,322,=D67 - D66
67,Optimal,946.78,338,=D68 - D67
68,Optimal,361.70,354,=D69 - D68
69,Optimal,286.86,370,=D70 - D69
70,Optimal,219.91,386,=D71 - D70
71,Optimal,281.53,402,=D72 - D71
72,Optimal,214.17,430,=D73 - D72
73,Optimal,197.13,458,=D74 - D73
74,Optimal,283.28,486,=D75 - D74
75,Optimal,346.67,514,=D76 - D75
76,Optimal,665.03,542,=D77 - D76
77,Optimal,1191.47,570,=D78 - D77
78,Optimal,730.66,598,=D79 - D78
79,Optimal,911.03,626,=D80 - D79
80,Optimal,371.70,654,=D81 - D80
81,Optimal,285.41,682,=D82 - D81
82,Optimal,451.25,710,=D83 - D82
