N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.08,0,=D3 - D2
3,Optimal,0.09,0,=D4 - D3
4,Optimal,0.11,0,=D5 - D4
5,Optimal,0.09,0,=D6 - D5
6,Optimal,0.14,0,=D7 - D6
7,Optimal,0.09,0,=D8 - D7
8,Optimal,0.13,0,=D9 - D8
9,Optimal,0.08,0,=D10 - D9
10,Optimal,0.14,0,=D11 - D10
11,Optimal,0.14,0,=D12 - D11
12,Optimal,0.13,0,=D13 - D12
13,Optimal,0.09,0,=D14 - D13
14,Optimal,0.14,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.09,0,=D17 - D16
17,Optimal,0.16,0,=D18 - D17
18,Optimal,0.14,0,=D19 - D18
19,Optimal,0.13,0,=D20 - D19
20,Optimal,0.08,0,=D21 - D20
21,Optimal,0.17,0,=D22 - D21
22,Optimal,0.11,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,0.14,0,=D26 - D25
26,Optimal,0.11,0,=D27 - D26
27,Optimal,0.09,0,=D28 - D27
28,Optimal,0.08,0,=D29 - D28
29,Optimal,0.16,0,=D30 - D29
30,Optimal,0.09,0,=D31 - D30
31,Optimal,0.09,0,=D32 - D31
32,Optimal,0.09,0,=D33 - D32
33,Optimal,0.16,0,=D34 - D33
34,Optimal,0.20,0,=D35 - D34
35,Optimal,0.14,0,=D36 - D35
36,Optimal,0.17,0,=D37 - D36
37,Optimal,0.14,0,=D38 - D37
38,Optimal,0.13,0,=D39 - D38
39,Optimal,0.13,0,=D40 - D39
40,Optimal,0.14,0,=D41 - D40
41,Optimal,0.09,0,=D42 - D41
42,Optimal,0.16,0,=D43 - D42
43,Optimal,3.34,8,=D44 - D43
44,Feasible,21600.25,16,=D45 - D44
45,Feasible,21600.25,24,=D46 - D45
46,Feasible,21600.33,32,=D47 - D46
47,Feasible,21600.59,40,=D48 - D47
48,Feasible,21600.16,48,=D49 - D48
49,Feasible,21600.31,56,=D50 - D49
50,Feasible,21602.33,64,=D51 - D50
51,Feasible,21600.41,72,=D52 - D51
52,Feasible,21604.56,80,=D53 - D52
53,Feasible,21601.52,88,=D54 - D53
54,Feasible,21601.09,96,=D55 - D54
55,Feasible,21613.59,110,=D56 - D55
56,Feasible,21606.59,120,=D57 - D56
57,Feasible,21605.56,128,=D58 - D57
58,Feasible,21601.67,142,=D59 - D58
59,Feasible,21612.42,156,=D60 - D59
60,Feasible,21607.89,170,=D61 - D60
61,Feasible,21609.25,184,=D62 - D61
62,Feasible,21605.41,198,=D63 - D62
63,Optimal,556.73,214,=D64 - D63
64,Optimal,574.20,230,=D65 - D64
65,Optimal,627.31,246,=D66 - D65
66,Optimal,497.48,262,=D67 - D66
67,Optimal,498.50,278,=D68 - D67
68,Optimal,438.83,294,=D69 - D68
69,Optimal,495.19,310,=D70 - D69
70,Optimal,529.42,326,=D71 - D70
71,Optimal,669.81,342,=D72 - D71
72,Optimal,2256.83,358,=D73 - D72
73,Optimal,737.59,374,=D74 - D73
74,Optimal,1454.69,390,=D75 - D74
75,Optimal,505.05,406,=D76 - D75
76,Optimal,190.81,422,=D77 - D76
77,Optimal,242.27,444,=D78 - D77
78,Optimal,241.02,472,=D79 - D78
79,Optimal,1581.16,500,=D80 - D79
80,Optimal,699.17,528,=D81 - D80
81,Optimal,391.88,556,=D82 - D81
82,Optimal,1423.66,584,=D83 - D82
83,Optimal,2001.22,612,=D84 - D83
84,Optimal,522.89,640,=D85 - D84
85,Optimal,490.52,668,=D86 - D85
86,Optimal,436.00,696,=D87 - D86
87,Optimal,868.97,724,=D88 - D87
88,Optimal,395.92,752,=D89 - D88
89,Optimal,534.34,780,=D90 - D89
90,Optimal,441.72,808,=D91 - D90
91,Optimal,323.34,836,=D92 - D91
92,Optimal,342.41,868,=D93 - D92
93,Optimal,190.75,900,=D94 - D93
94,Optimal,403.42,932,=D95 - D94
95,Optimal,163.95,964,=D96 - D95
96,Optimal,190.42,996,=D97 - D96
97,Optimal,176.33,1028,=D98 - D97
98,Optimal,157.75,1060,=D99 - D98
99,Optimal,206.19,1092,=D100 - D99
100,Optimal,151.98,1124,=D101 - D100
101,Optimal,156.45,1156,=D102 - D101
102,Optimal,167.31,1188,=D103 - D102
103,Optimal,113.81,1220,=D104 - D103
104,Optimal,107.13,1252,=D105 - D104
105,Optimal,129.38,1284,=D106 - D105
106,Optimal,110.23,1316,=D107 - D106
107,Optimal,94.69,1352,=D108 - D107
108,Optimal,95.53,1388,=D109 - D108
109,Optimal,94.98,1422,=D110 - D109
110,Optimal,90.97,1456,=D111 - D110
111,Optimal,81.31,1494,=D112 - D111
112,Optimal,73.34,1538,=D113 - D112
113,Optimal,85.45,1584,=D114 - D113
114,Optimal,75.31,1630,=D115 - D114
115,Optimal,82.67,1678,=D116 - D115
116,Optimal,63.00,1726,=D117 - D116
117,Optimal,68.25,1778,=D118 - D117
118,Optimal,63.92,1834,=D119 - D118
119,Optimal,53.83,1890,=D120 - D119
120,Optimal,69.69,1950,=D121 - D120
121,Optimal,69.23,2010,=D122 - D121
122,Optimal,62.67,2070,=D123 - D122
123,Optimal,68.89,2130,=D124 - D123
124,Optimal,75.44,2190,=D125 - D124
125,Optimal,55.89,2250,=D126 - D125
126,Optimal,62.66,2310,=D127 - D126
127,Optimal,61.20,2370,=D128 - D127
128,Optimal,57.48,2430,=D129 - D128
129,Optimal,62.94,2490,=D130 - D129
130,Optimal,59.61,2550,=D131 - D130
131,Optimal,39.69,2610,=D132 - D131
132,Optimal,45.95,2670,=D133 - D132
133,Optimal,37.44,2740,=D134 - D133
134,Optimal,27.83,2816,=D135 - D134
135,Optimal,24.16,2906,=D136 - D135
136,Optimal,24.47,2996,=D137 - D136
137,Optimal,32.36,3158,=D138 - D137
138,Optimal,34.81,3320,=D139 - D138
139,Optimal,32.06,3482,=D140 - D139
140,Optimal,29.03,3652,=D141 - D140
141,Optimal,27.56,3844,=D142 - D141
142,Optimal,20.44,4036,=D143 - D142
143,Optimal,20.42,4240,=D144 - D143
144,Optimal,19.33,4446,=D145 - D144
145,Optimal,36.03,4738,=D146 - D145
146,Optimal,41.89,5030,=D147 - D146
147,Optimal,39.89,5322,=D148 - D147
148,Optimal,42.89,5614,=D149 - D148
149,Optimal,51.66,5906,=D150 - D149
150,Optimal,49.86,6198,=D151 - D150
151,Optimal,43.42,6490,=D152 - D151
152,Optimal,37.56,6782,=D153 - D152
153,Optimal,51.94,7074,=D154 - D153
154,Optimal,50.31,7366,=D155 - D154
155,Optimal,35.88,7658,=D156 - D155
156,Optimal,36.83,7950,=D157 - D156
157,Optimal,43.09,8242,=D158 - D157
158,Optimal,39.00,8534,=D159 - D158
159,Optimal,45.77,8826,=D160 - D159
160,Optimal,39.84,9118,=D161 - D160
161,Optimal,40.39,9410,=D162 - D161
162,Optimal,38.19,9702,=D163 - D162
163,Optimal,38.30,9994,=D164 - D163
164,Optimal,43.78,10286,=D165 - D164
165,Optimal,38.77,10578,=D166 - D165
166,Optimal,39.31,10870,=D167 - D166
167,Optimal,33.14,11162,=D168 - D167
168,Optimal,37.27,11454,=D169 - D168
169,Optimal,26.45,11754,=D170 - D169
170,Optimal,25.72,12060,=D171 - D170
171,Optimal,30.31,12366,=D172 - D171
172,Optimal,28.94,12674,=D173 - D172
173,Optimal,32.64,12996,=D174 - D173
174,Optimal,31.09,13318,=D175 - D174
175,Optimal,28.61,13640,=D176 - D175
176,Optimal,27.38,13962,=D177 - D176
177,Optimal,26.69,14284,=D178 - D177
178,Optimal,26.48,14606,=D179 - D178
179,Optimal,23.31,14928,=D180 - D179
180,Optimal,26.36,15250,=D181 - D180
181,Optimal,28.67,15572,=D182 - D181
182,Optimal,25.52,15894,=D183 - D182
183,Optimal,24.45,16216,=D184 - D183
184,Optimal,23.66,16538,=D185 - D184
185,Optimal,19.97,16860,=D186 - D185
186,Optimal,24.48,17182,=D187 - D186
187,Optimal,25.53,17504,=D188 - D187
188,Optimal,17.41,17826,=D189 - D188
189,Optimal,23.20,18148,=D190 - D189
190,Optimal,22.25,18470,=D191 - D190
191,Optimal,22.27,18792,=D192 - D191
192,Optimal,22.84,19114,=D193 - D192
193,Optimal,20.59,19436,=D194 - D193
194,Optimal,16.27,19758,=D195 - D194
195,Optimal,17.89,20080,=D196 - D195
196,Optimal,12.45,20402,=D197 - D196
197,Optimal,10.63,20724,=D198 - D197
198,Optimal,9.53,21048,=D199 - D198
199,Optimal,7.59,21372,=D200 - D199
200,Optimal,5.02,21704,=D201 - D200
201,Optimal,3.50,22052,=D202 - D201
202,Optimal,5.83,22400,=D203 - D202
203,Optimal,4.75,22748,=D204 - D203
204,Optimal,4.30,23096,=D205 - D204
205,Optimal,4.67,23444,=D206 - D205
206,Optimal,4.36,23792,=D207 - D206
207,Optimal,4.08,24140,=D208 - D207
208,Optimal,4.17,24488,=D209 - D208
209,Optimal,3.41,24836,=D210 - D209
210,Optimal,4.67,25184,=D211 - D210
211,Optimal,3.91,25532,=D212 - D211
212,Optimal,3.47,25880,=D213 - D212
213,Optimal,2.89,26232,=D214 - D213
214,Optimal,2.73,26588,=D215 - D214
215,Optimal,2.14,26944,=D216 - D215
216,Optimal,1.47,27300,=D217 - D216
217,Optimal,2.48,27656,=D218 - D217
218,Optimal,2.41,28012,=D219 - D218
219,Optimal,2.31,28368,=D220 - D219
220,Optimal,3.22,28724,=D221 - D220
221,Optimal,3.14,29080,=D222 - D221
222,Optimal,1.78,29436,=D223 - D222
223,Optimal,0.64,29792,=D224 - D223
224,Optimal,0.94,30148,=D225 - D224
225,Optimal,0.30,30504,=D226 - D225
226,Optimal,0.30,30874,=D227 - D226
227,Optimal,0.22,31254,=D228 - D227
228,Optimal,0.19,31666,=D229 - D228
229,Optimal,0.23,32078,=D230 - D229
230,Optimal,0.20,32490,=D231 - D230
231,Optimal,0.23,32902,=D232 - D231
232,Optimal,0.22,33314,=D233 - D232
233,Optimal,0.25,33726,=D234 - D233
234,Optimal,0.20,34138,=D235 - D234
235,Optimal,0.41,34550,=D236 - D235
236,Optimal,0.16,34962,=D237 - D236
237,Optimal,0.25,35374,=D238 - D237
238,Optimal,0.05,35786,=D239 - D238
