N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.09,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.13,0,=D5 - D4
5,Optimal,0.17,0,=D6 - D5
6,Optimal,0.19,0,=D7 - D6
7,Optimal,0.17,0,=D8 - D7
8,Optimal,0.14,0,=D9 - D8
9,Optimal,0.17,0,=D10 - D9
10,Optimal,0.14,0,=D11 - D10
11,Optimal,0.17,0,=D12 - D11
12,Optimal,0.17,0,=D13 - D12
13,Optimal,0.17,0,=D14 - D13
14,Optimal,0.14,0,=D15 - D14
15,Optimal,0.16,0,=D16 - D15
16,Optimal,0.14,0,=D17 - D16
17,Optimal,0.17,0,=D18 - D17
18,Optimal,0.17,0,=D19 - D18
19,Optimal,0.20,0,=D20 - D19
20,Optimal,0.17,0,=D21 - D20
21,Optimal,0.17,0,=D22 - D21
22,Optimal,0.20,0,=D23 - D22
23,Optimal,0.17,0,=D24 - D23
24,Optimal,0.16,0,=D25 - D24
25,Optimal,0.19,0,=D26 - D25
26,Optimal,0.20,0,=D27 - D26
27,Optimal,0.17,0,=D28 - D27
28,Optimal,0.14,0,=D29 - D28
29,Optimal,0.17,0,=D30 - D29
30,Optimal,0.14,0,=D31 - D30
31,Optimal,0.16,0,=D32 - D31
32,Optimal,0.11,0,=D33 - D32
33,Optimal,0.17,0,=D34 - D33
34,Optimal,0.20,0,=D35 - D34
35,Optimal,0.16,0,=D36 - D35
36,Optimal,0.17,0,=D37 - D36
37,Optimal,0.13,0,=D38 - D37
38,Optimal,0.22,0,=D39 - D38
39,Optimal,0.20,0,=D40 - D39
40,Optimal,0.13,0,=D41 - D40
41,Optimal,0.17,0,=D42 - D41
42,Optimal,0.17,0,=D43 - D42
43,Optimal,0.13,0,=D44 - D43
44,Optimal,0.17,0,=D45 - D44
45,Optimal,0.16,0,=D46 - D45
46,Optimal,0.17,0,=D47 - D46
47,Optimal,0.16,0,=D48 - D47
48,Optimal,0.19,0,=D49 - D48
49,Optimal,0.19,0,=D50 - D49
50,Optimal,0.19,0,=D51 - D50
51,Optimal,0.19,0,=D52 - D51
52,Optimal,0.27,0,=D53 - D52
53,Optimal,0.30,0,=D54 - D53
54,Optimal,0.25,0,=D55 - D54
55,Optimal,0.20,0,=D56 - D55
56,Optimal,19855.53,8,=D57 - D56
57,Feasible,21600.88,16,=D58 - D57
58,Feasible,21601.59,24,=D59 - D58
59,Feasible,21601.95,32,=D60 - D59
60,Feasible,21601.34,40,=D61 - D60
61,Feasible,21601.31,56,=D62 - D61
62,Feasible,21601.66,72,=D63 - D62
63,Feasible,21601.72,88,=D64 - D63
64,Feasible,21601.95,104,=D65 - D64
65,Feasible,21601.80,120,=D66 - D65
66,Feasible,21601.88,136,=D67 - D66
67,Feasible,21602.66,152,=D68 - D67
68,Feasible,21601.56,168,=D69 - D68
69,Feasible,21601.88,184,=D70 - D69
70,Feasible,21602.09,200,=D71 - D70
71,Feasible,21602.02,216,=D72 - D71
72,Feasible,21618.58,232,=D73 - D72
73,Feasible,21609.00,248,=D74 - D73
74,Feasible,21606.97,264,=D75 - D74
75,Feasible,21610.91,280,=D76 - D75
76,Feasible,21614.05,296,=D77 - D76
77,Optimal,3101.56,312,=D78 - D77
78,Feasible,21627.25,328,=D79 - D78
79,Feasible,21604.53,344,=D80 - D79
80,Optimal,4586.41,360,=D81 - D80
81,Optimal,1072.50,376,=D82 - D81
82,Optimal,2540.53,392,=D83 - D82
83,Optimal,1592.08,408,=D84 - D83
84,Optimal,1419.31,424,=D85 - D84
85,Optimal,2300.67,440,=D86 - D85
86,Optimal,1834.88,456,=D87 - D86
87,Optimal,15893.91,472,=D88 - D87
88,Optimal,2790.50,488,=D89 - D88
89,Optimal,3569.94,504,=D90 - D89
90,Optimal,2281.63,520,=D91 - D90
91,Optimal,2901.63,536,=D92 - D91
92,Optimal,1658.41,552,=D93 - D92
93,Optimal,870.83,568,=D94 - D93
94,Optimal,1273.11,596,=D95 - D94
95,Optimal,4236.77,632,=D96 - D95
96,Feasible,21603.50,668,=D97 - D96
97,Optimal,20480.86,704,=D98 - D97
98,Feasible,21603.66,740,=D99 - D98
99,Feasible,21604.56,776,=D100 - D99
100,Feasible,21606.64,812,=D101 - D100
101,Feasible,21605.81,848,=D102 - D101
102,Feasible,21605.70,884,=D103 - D102
103,Feasible,21604.88,920,=D104 - D103
104,Feasible,21610.00,956,=D105 - D104
105,Feasible,21604.58,992,=D106 - D105
106,Feasible,21605.16,1028,=D107 - D106
107,Feasible,21604.05,1064,=D108 - D107
108,Feasible,21605.56,1100,=D109 - D108
109,Feasible,21607.34,1136,=D110 - D109
110,Feasible,21604.84,1172,=D111 - D110
111,Feasible,21605.31,1208,=D112 - D111
112,Feasible,21607.39,1244,=D113 - D112
113,Feasible,21604.36,1280,=D114 - D113
114,Feasible,21604.02,1316,=D115 - D114
115,Feasible,21614.94,1352,=D116 - D115
116,Feasible,21606.48,1388,=D117 - D116
117,Feasible,21621.84,1424,=D118 - D117
118,Feasible,21613.86,1460,=D119 - D118
119,Feasible,21605.02,1496,=D120 - D119
120,Feasible,21607.38,1532,=D121 - D120
121,Feasible,21616.66,1568,=D122 - D121
122,Optimal,5110.66,1604,=D123 - D122
123,Optimal,3164.75,1644,=D124 - D123
124,Optimal,6153.27,1684,=D125 - D124
125,Optimal,3844.67,1724,=D126 - D125
126,Optimal,3391.38,1764,=D127 - D126
127,Optimal,3607.75,1804,=D128 - D127
128,Optimal,3199.55,1844,=D129 - D128
129,Optimal,2242.69,1884,=D130 - D129
130,Optimal,1898.44,1924,=D131 - D130
131,Optimal,2009.34,1964,=D132 - D131
132,Optimal,542.52,2004,=D133 - D132
133,Optimal,413.50,2044,=D134 - D133
134,Optimal,178.97,2084,=D135 - D134
135,Optimal,153.00,2124,=D136 - D135
136,Optimal,142.20,2164,=D137 - D136
137,Optimal,142.91,2224,=D138 - D137
138,Optimal,126.00,2284,=D139 - D138
139,Optimal,147.72,2344,=D140 - D139
140,Optimal,143.06,2404,=D141 - D140
141,Optimal,142.61,2464,=D142 - D141
142,Optimal,134.00,2524,=D143 - D142
143,Optimal,130.27,2584,=D144 - D143
144,Optimal,133.31,2644,=D145 - D144
145,Optimal,104.05,2704,=D146 - D145
146,Optimal,115.94,2764,=D147 - D146
147,Optimal,93.23,2824,=D148 - D147
148,Optimal,97.98,2884,=D149 - D148
149,Optimal,66.50,2944,=D150 - D149
150,Optimal,39.78,3004,=D151 - D150
151,Optimal,44.61,3136,=D152 - D151
152,Optimal,43.16,3276,=D153 - D152
153,Optimal,39.20,3424,=D154 - D153
154,Optimal,48.42,3578,=D155 - D154
155,Optimal,44.92,3732,=D156 - D155
156,Optimal,44.95,3892,=D157 - D156
157,Optimal,54.03,4052,=D158 - D157
158,Optimal,60.89,4230,=D159 - D158
159,Optimal,48.70,4416,=D160 - D159
160,Optimal,59.67,4606,=D161 - D160
161,Optimal,58.88,4796,=D162 - D161
