N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.00,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.02,0,=D7 - D6
7,Optimal,0.00,0,=D8 - D7
8,Optimal,0.70,8,=D9 - D8
9,Optimal,2.84,16,=D10 - D9
10,Optimal,2.36,24,=D11 - D10
11,Optimal,3.22,32,=D12 - D11
12,Optimal,3.06,40,=D13 - D12
13,Optimal,1.84,48,=D14 - D13
14,Optimal,3.69,62,=D15 - D14
15,Optimal,2.47,84,=D16 - D15
16,Optimal,3.28,106,=D17 - D16
17,Optimal,3.95,128,=D18 - D17
18,Optimal,14.20,150,=D19 - D18
19,Optimal,1.92,172,=D20 - D19
20,Optimal,3.78,194,=D21 - D20
21,Optimal,5.36,224,=D22 - D21
22,Optimal,3.52,254,=D23 - D22
23,Optimal,3.02,284,=D24 - D23
24,Optimal,1.38,314,=D25 - D24
25,Optimal,0.97,344,=D26 - D25
26,Optimal,0.61,374,=D27 - D26
27,Optimal,0.17,536,=D28 - D27
28,Optimal,0.28,712,=D29 - D28
29,Optimal,0.55,1004,=D30 - D29
30,Optimal,0.77,1296,=D31 - D30
31,Optimal,1.33,1588,=D32 - D31
32,Optimal,4.22,1880,=D33 - D32
33,Optimal,7.83,2172,=D34 - D33
34,Optimal,7.09,2464,=D35 - D34
35,Optimal,2.56,2764,=D36 - D35
36,Optimal,13.83,3064,=D37 - D36
37,Optimal,9.31,3364,=D38 - D37
38,Optimal,3.41,3664,=D39 - D38
39,Optimal,2.48,3964,=D40 - D39
40,Optimal,4.02,4270,=D41 - D40
41,Optimal,2.83,4584,=D42 - D41
42,Optimal,4.77,4898,=D43 - D42
43,Optimal,2.94,5212,=D44 - D43
44,Optimal,5.44,5526,=D45 - D44
45,Optimal,0.09,5840,=D46 - D45
46,Optimal,2.95,6162,=D47 - D46
47,Optimal,0.03,6484,=D48 - D47
48,Optimal,0.03,6806,=D49 - D48
49,Optimal,0.02,7128,=D50 - D49
50,Optimal,0.00,7450,=D51 - D50
