N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.00,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.05,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.02,0,=D9 - D8
9,Optimal,0.06,0,=D10 - D9
10,Optimal,0.08,0,=D11 - D10
11,Optimal,0.34,8,=D12 - D11
12,Optimal,65.16,16,=D13 - D12
13,Optimal,56.69,24,=D14 - D13
14,Optimal,66.11,32,=D15 - D14
15,Optimal,44.25,40,=D16 - D15
16,Optimal,58.44,48,=D17 - D16
17,Optimal,48.92,56,=D18 - D17
18,Optimal,41.75,64,=D19 - D18
19,Optimal,20.89,72,=D20 - D19
20,Optimal,22.73,86,=D21 - D20
21,Optimal,38.06,108,=D22 - D21
22,Optimal,39.08,130,=D23 - D22
23,Optimal,36.67,152,=D24 - D23
24,Optimal,17.72,174,=D25 - D24
25,Optimal,19.84,196,=D26 - D25
26,Optimal,17.34,218,=D27 - D26
27,Optimal,15.48,240,=D28 - D27
28,Optimal,16.84,262,=D29 - D28
29,Optimal,5.64,284,=D30 - D29
30,Optimal,5.36,314,=D31 - D30
31,Optimal,7.72,344,=D32 - D31
32,Optimal,9.89,374,=D33 - D32
33,Optimal,3.41,404,=D34 - D33
34,Optimal,1.72,434,=D35 - D34
35,Optimal,1.11,464,=D36 - D35
36,Optimal,1.03,494,=D37 - D36
37,Optimal,0.72,656,=D38 - D37
38,Optimal,0.38,832,=D39 - D38
39,Optimal,0.63,1096,=D40 - D39
40,Optimal,2.66,1374,=D41 - D40
41,Optimal,1.97,1658,=D42 - D41
42,Optimal,7.28,1948,=D43 - D42
43,Optimal,9.97,2240,=D44 - D43
44,Optimal,12.89,2532,=D45 - D44
45,Optimal,9.34,2824,=D46 - D45
46,Optimal,19.00,3116,=D47 - D46
47,Optimal,11.27,3408,=D48 - D47
48,Optimal,10.97,3700,=D49 - D48
49,Optimal,16.64,3992,=D50 - D49
50,Optimal,11.27,4290,=D51 - D50
51,Optimal,19.67,4590,=D52 - D51
52,Optimal,12.19,4890,=D53 - D52
53,Optimal,26.11,5190,=D54 - D53
54,Optimal,29.39,5490,=D55 - D54
55,Optimal,20.19,5790,=D56 - D55
56,Optimal,30.27,6090,=D57 - D56
57,Optimal,10.02,6390,=D58 - D57
58,Optimal,9.86,6704,=D59 - D58
59,Optimal,18.98,7018,=D60 - D59
60,Optimal,16.70,7332,=D61 - D60
61,Optimal,15.66,7646,=D62 - D61
62,Optimal,10.55,7960,=D63 - D62
63,Optimal,2.59,8274,=D64 - D63
64,Optimal,0.47,8588,=D65 - D64
65,Optimal,0.02,8910,=D66 - D65
66,Optimal,0.02,9232,=D67 - D66
67,Optimal,0.02,9554,=D68 - D67
68,Optimal,0.06,9876,=D69 - D68
69,Optimal,0.09,10198,=D70 - D69
70,Optimal,0.00,10520,=D71 - D70
