N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.00,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.02,0,=D9 - D8
9,Optimal,0.02,0,=D10 - D9
10,Optimal,0.05,0,=D11 - D10
11,Optimal,0.58,8,=D12 - D11
12,Optimal,64.75,16,=D13 - D12
13,Optimal,59.00,24,=D14 - D13
14,Optimal,66.88,32,=D15 - D14
15,Optimal,43.02,40,=D16 - D15
16,Optimal,59.55,48,=D17 - D16
17,Optimal,45.80,56,=D18 - D17
18,Optimal,42.39,64,=D19 - D18
19,Optimal,22.55,72,=D20 - D19
20,Optimal,21.78,86,=D21 - D20
21,Optimal,39.39,108,=D22 - D21
22,Optimal,36.73,130,=D23 - D22
23,Optimal,37.33,152,=D24 - D23
24,Optimal,16.58,174,=D25 - D24
25,Optimal,17.64,196,=D26 - D25
26,Optimal,16.67,218,=D27 - D26
27,Optimal,15.81,240,=D28 - D27
28,Optimal,16.42,262,=D29 - D28
29,Optimal,5.47,284,=D30 - D29
30,Optimal,5.50,314,=D31 - D30
31,Optimal,7.81,344,=D32 - D31
32,Optimal,10.23,374,=D33 - D32
33,Optimal,3.70,404,=D34 - D33
34,Optimal,1.59,434,=D35 - D34
35,Optimal,1.00,464,=D36 - D35
36,Optimal,1.23,494,=D37 - D36
37,Optimal,0.77,656,=D38 - D37
38,Optimal,0.67,832,=D39 - D38
39,Optimal,0.67,1096,=D40 - D39
40,Optimal,2.44,1374,=D41 - D40
41,Optimal,2.16,1658,=D42 - D41
42,Optimal,6.59,1948,=D43 - D42
43,Optimal,9.86,2240,=D44 - D43
44,Optimal,14.41,2532,=D45 - D44
45,Optimal,9.17,2824,=D46 - D45
46,Optimal,22.02,3116,=D47 - D46
47,Optimal,11.83,3408,=D48 - D47
48,Optimal,11.02,3700,=D49 - D48
49,Optimal,16.47,3992,=D50 - D49
50,Optimal,11.44,4290,=D51 - D50
51,Optimal,20.11,4590,=D52 - D51
52,Optimal,14.05,4890,=D53 - D52
53,Optimal,24.69,5190,=D54 - D53
54,Optimal,28.30,5490,=D55 - D54
