N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.09,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.06,0,=D5 - D4
5,Optimal,0.05,0,=D6 - D5
6,Optimal,0.09,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.08,0,=D9 - D8
9,Optimal,0.09,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.09,0,=D12 - D11
12,Optimal,0.02,0,=D13 - D12
13,Optimal,0.11,0,=D14 - D13
14,Optimal,0.03,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.02,0,=D20 - D19
20,Optimal,0.03,0,=D21 - D20
21,Optimal,0.17,0,=D22 - D21
22,Optimal,0.16,0,=D23 - D22
23,Optimal,0.17,0,=D24 - D23
24,Optimal,0.20,0,=D25 - D24
25,Optimal,0.13,0,=D26 - D25
26,Optimal,0.16,0,=D27 - D26
27,Optimal,0.16,0,=D28 - D27
28,Optimal,0.11,0,=D29 - D28
29,Optimal,0.08,0,=D30 - D29
30,Optimal,0.20,0,=D31 - D30
31,Optimal,0.11,0,=D32 - D31
32,Optimal,140.13,8,=D33 - D32
33,Optimal,1881.88,24,=D34 - D33
34,Optimal,3150.33,40,=D35 - D34
35,Optimal,1340.94,56,=D36 - D35
36,Optimal,894.91,72,=D37 - D36
37,Optimal,1369.09,88,=D38 - D37
38,Optimal,2142.34,104,=D39 - D38
39,Optimal,1547.70,120,=D40 - D39
40,Optimal,1097.16,136,=D41 - D40
41,Optimal,169.80,152,=D42 - D41
42,Optimal,162.73,168,=D43 - D42
43,Optimal,186.64,184,=D44 - D43
44,Optimal,70.78,200,=D45 - D44
45,Optimal,69.72,222,=D46 - D45
46,Optimal,70.58,244,=D47 - D46
47,Optimal,51.61,266,=D48 - D47
48,Optimal,63.77,288,=D49 - D48
49,Optimal,77.53,318,=D50 - D49
50,Optimal,75.09,348,=D51 - D50
51,Optimal,91.31,378,=D52 - D51
52,Optimal,98.63,408,=D53 - D52
53,Optimal,49.23,438,=D54 - D53
54,Optimal,50.92,468,=D55 - D54
55,Optimal,44.38,498,=D56 - D55
56,Optimal,135.52,528,=D57 - D56
57,Optimal,55.09,558,=D58 - D57
58,Optimal,50.39,588,=D59 - D58
59,Optimal,48.63,618,=D60 - D59
60,Optimal,41.34,648,=D61 - D60
61,Optimal,45.45,678,=D62 - D61
62,Optimal,36.13,708,=D63 - D62
63,Optimal,43.11,738,=D64 - D63
64,Optimal,20.50,768,=D65 - D64
65,Optimal,32.38,812,=D66 - D65
66,Optimal,20.66,856,=D67 - D66
67,Optimal,21.45,900,=D68 - D67
68,Optimal,42.22,944,=D69 - D68
69,Optimal,33.75,988,=D70 - D69
70,Optimal,31.42,1032,=D71 - D70
71,Optimal,33.97,1076,=D72 - D71
72,Optimal,28.22,1120,=D73 - D72
73,Optimal,22.94,1164,=D74 - D73
74,Optimal,17.98,1208,=D75 - D74
75,Optimal,14.88,1252,=D76 - D75
76,Optimal,6.98,1296,=D77 - D76
77,Optimal,7.14,1472,=D78 - D77
78,Optimal,9.34,1648,=D79 - D78
79,Optimal,8.08,1840,=D80 - D79
80,Optimal,17.55,2116,=D81 - D80
81,Optimal,11.08,2392,=D82 - D81
82,Optimal,18.80,2676,=D83 - D82
83,Optimal,20.03,2960,=D84 - D83
84,Optimal,20.19,3252,=D85 - D84
85,Optimal,25.86,3544,=D86 - D85
86,Optimal,32.55,3836,=D87 - D86
87,Optimal,27.42,4128,=D88 - D87
88,Optimal,31.47,4420,=D89 - D88
89,Optimal,34.50,4712,=D90 - D89
90,Optimal,25.78,5004,=D91 - D90
91,Optimal,35.91,5296,=D92 - D91
92,Optimal,29.13,5588,=D93 - D92
93,Optimal,29.81,5880,=D94 - D93
94,Optimal,23.50,6172,=D95 - D94
95,Optimal,20.72,6464,=D96 - D95
96,Optimal,24.28,6756,=D97 - D96
97,Optimal,21.83,7048,=D98 - D97
98,Optimal,20.59,7340,=D99 - D98
99,Optimal,17.22,7632,=D100 - D99
100,Optimal,22.59,7924,=D101 - D100
101,Optimal,22.25,8216,=D102 - D101
102,Optimal,19.25,8508,=D103 - D102
103,Optimal,23.64,8800,=D104 - D103
104,Optimal,18.66,9092,=D105 - D104
105,Optimal,15.45,9384,=D106 - D105
106,Optimal,13.44,9676,=D107 - D106
107,Optimal,9.98,9968,=D108 - D107
108,Optimal,8.75,10282,=D109 - D108
109,Optimal,9.86,10596,=D110 - D109
110,Optimal,8.22,10910,=D111 - D110
111,Optimal,6.25,11226,=D112 - D111
112,Optimal,4.56,11548,=D113 - D112
113,Optimal,6.41,11872,=D114 - D113
114,Optimal,7.20,12196,=D115 - D114
115,Optimal,6.63,12520,=D116 - D115
