N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.08,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.09,0,=D9 - D8
9,Optimal,0.05,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.05,0,=D13 - D12
13,Optimal,0.03,0,=D14 - D13
14,Optimal,0.03,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.14,0,=D17 - D16
17,Optimal,0.02,0,=D18 - D17
18,Optimal,0.02,0,=D19 - D18
19,Optimal,0.06,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.03,0,=D22 - D21
22,Optimal,0.05,0,=D23 - D22
23,Optimal,0.05,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,1.23,180,=D26 - D25
26,Optimal,7962.44,360,=D27 - D26
27,Optimal,3434.03,540,=D28 - D27
28,Optimal,1396.91,720,=D29 - D28
29,Optimal,1299.95,900,=D30 - D29
30,Optimal,262.80,1080,=D31 - D30
31,Optimal,170.25,1260,=D32 - D31
32,Optimal,150.02,1440,=D33 - D32
33,Optimal,264.38,1620,=D34 - D33
34,Optimal,215.02,1800,=D35 - D34
35,Optimal,93.48,1980,=D36 - D35
36,Optimal,72.69,2160,=D37 - D36
37,Optimal,23.55,2340,=D38 - D37
38,Optimal,119.31,2520,=D39 - D38
39,Optimal,21.00,2700,=D40 - D39
40,Optimal,37.84,2880,=D41 - D40
41,Optimal,25.20,3060,=D42 - D41
42,Optimal,31.73,3240,=D43 - D42
43,Optimal,23.80,3420,=D44 - D43
44,Optimal,24.53,3600,=D45 - D44
45,Optimal,23.52,3780,=D46 - D45
46,Optimal,19.02,3960,=D47 - D46
47,Optimal,21.81,4140,=D48 - D47
48,Optimal,28.64,4320,=D49 - D48
49,Optimal,72.98,4680,=D50 - D49
50,Optimal,45.39,5040,=D51 - D50
51,Optimal,52.22,5400,=D52 - D51
52,Optimal,24.88,5760,=D53 - D52
