N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.06,0,=D3 - D2
3,Optimal,0.09,0,=D4 - D3
4,Optimal,0.09,0,=D5 - D4
5,Optimal,0.14,0,=D6 - D5
6,Optimal,0.14,0,=D7 - D6
7,Optimal,0.14,0,=D8 - D7
8,Optimal,0.13,0,=D9 - D8
9,Optimal,0.08,0,=D10 - D9
10,Optimal,0.14,0,=D11 - D10
11,Optimal,0.14,0,=D12 - D11
12,Optimal,0.16,0,=D13 - D12
13,Optimal,0.17,0,=D14 - D13
14,Optimal,0.08,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.09,0,=D17 - D16
17,Optimal,0.09,0,=D18 - D17
18,Optimal,0.08,0,=D19 - D18
19,Optimal,0.19,0,=D20 - D19
20,Optimal,0.14,0,=D21 - D20
21,Optimal,0.14,0,=D22 - D21
22,Optimal,0.13,0,=D23 - D22
23,Optimal,0.16,0,=D24 - D23
24,Optimal,0.09,0,=D25 - D24
25,Optimal,0.06,0,=D26 - D25
26,Optimal,0.09,0,=D27 - D26
27,Optimal,0.08,0,=D28 - D27
28,Optimal,0.08,0,=D29 - D28
29,Optimal,0.11,0,=D30 - D29
30,Optimal,0.16,0,=D31 - D30
31,Optimal,0.14,0,=D32 - D31
32,Optimal,0.11,0,=D33 - D32
33,Optimal,0.17,0,=D34 - D33
34,Optimal,0.13,0,=D35 - D34
35,Optimal,0.14,0,=D36 - D35
36,Optimal,0.11,0,=D37 - D36
37,Optimal,0.08,0,=D38 - D37
38,Optimal,0.14,0,=D39 - D38
39,Optimal,0.11,0,=D40 - D39
40,Optimal,0.09,0,=D41 - D40
41,Optimal,0.08,0,=D42 - D41
42,Optimal,0.14,0,=D43 - D42
43,Optimal,0.13,0,=D44 - D43
44,Optimal,0.16,0,=D45 - D44
45,Optimal,0.11,0,=D46 - D45
46,Optimal,0.11,0,=D47 - D46
47,Optimal,0.14,0,=D48 - D47
48,Optimal,0.16,0,=D49 - D48
49,Optimal,0.11,0,=D50 - D49
50,Optimal,0.17,0,=D51 - D50
51,Optimal,0.13,0,=D52 - D51
52,Optimal,0.09,0,=D53 - D52
53,Optimal,0.16,0,=D54 - D53
54,Optimal,0.17,0,=D55 - D54
55,Optimal,0.17,0,=D56 - D55
56,Optimal,0.09,0,=D57 - D56
57,Optimal,0.11,0,=D58 - D57
58,Optimal,0.11,0,=D59 - D58
59,Optimal,0.13,0,=D60 - D59
60,Optimal,0.16,0,=D61 - D60
61,Optimal,0.17,0,=D62 - D61
62,Optimal,0.22,0,=D63 - D62
63,Optimal,0.19,0,=D64 - D63
64,Optimal,0.17,0,=D65 - D64
65,Optimal,0.25,0,=D66 - D65
66,Optimal,0.16,0,=D67 - D66
67,Optimal,0.19,0,=D68 - D67
68,Optimal,0.22,0,=D69 - D68
69,Optimal,0.23,0,=D70 - D69
70,Optimal,0.14,0,=D71 - D70
71,Optimal,0.25,0,=D72 - D71
72,Optimal,0.22,0,=D73 - D72
73,Optimal,0.17,0,=D74 - D73
74,Optimal,0.19,0,=D75 - D74
75,Optimal,0.17,0,=D76 - D75
76,Optimal,0.17,0,=D77 - D76
77,Optimal,9.03,180,=D78 - D77
78,Optimal,6351.39,360,=D79 - D78
79,Optimal,12909.27,540,=D80 - D79
80,Optimal,6381.52,720,=D81 - D80
81,Optimal,2924.36,900,=D82 - D81
82,Optimal,326.48,1080,=D83 - D82
83,Optimal,71.30,1260,=D84 - D83
84,Optimal,203.36,1440,=D85 - D84
85,Optimal,45.66,1620,=D86 - D85
86,Optimal,27.41,1800,=D87 - D86
87,Optimal,186.53,1980,=D88 - D87
88,Optimal,20.03,2160,=D89 - D88
89,Optimal,27.98,2340,=D90 - D89
90,Optimal,21.33,2520,=D91 - D90
91,Optimal,25.08,2700,=D92 - D91
