N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.08,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.08,0,=D6 - D5
6,Optimal,0.02,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.05,0,=D9 - D8
9,Optimal,0.08,0,=D10 - D9
10,Optimal,0.02,0,=D11 - D10
11,Optimal,0.02,0,=D12 - D11
12,Optimal,0.08,0,=D13 - D12
13,Optimal,0.03,0,=D14 - D13
14,Optimal,0.03,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.16,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.09,0,=D19 - D18
19,Optimal,0.06,0,=D20 - D19
20,Optimal,0.09,0,=D21 - D20
21,Optimal,0.02,0,=D22 - D21
22,Optimal,0.02,0,=D23 - D22
23,Optimal,0.02,0,=D24 - D23
24,Optimal,0.09,0,=D25 - D24
25,Optimal,0.44,180,=D26 - D25
26,Optimal,892.61,360,=D27 - D26
27,Optimal,188.19,540,=D28 - D27
28,Optimal,141.97,720,=D29 - D28
29,Optimal,192.64,900,=D30 - D29
30,Optimal,71.08,1080,=D31 - D30
31,Optimal,70.47,1260,=D32 - D31
32,Optimal,52.77,1440,=D33 - D32
33,Optimal,38.08,1620,=D34 - D33
34,Optimal,66.53,1800,=D35 - D34
35,Optimal,31.16,1980,=D36 - D35
36,Optimal,57.39,2160,=D37 - D36
37,Optimal,26.86,2340,=D38 - D37
38,Optimal,21.70,2520,=D39 - D38
39,Optimal,19.70,2700,=D40 - D39
40,Optimal,13.17,2880,=D41 - D40
41,Optimal,17.77,3060,=D42 - D41
42,Optimal,23.39,3240,=D43 - D42
43,Optimal,23.91,3420,=D44 - D43
44,Optimal,14.13,3600,=D45 - D44
45,Optimal,14.56,3780,=D46 - D45
46,Optimal,15.92,3960,=D47 - D46
47,Optimal,10.75,4140,=D48 - D47
48,Optimal,8.50,4500,=D49 - D48
49,Optimal,12.61,4860,=D50 - D49
50,Optimal,11.73,5220,=D51 - D50
51,Optimal,14.55,5580,=D52 - D51
52,Optimal,16.28,5940,=D53 - D52
53,Optimal,15.30,6300,=D54 - D53
54,Optimal,10.88,6660,=D55 - D54
55,Optimal,16.13,7020,=D56 - D55
56,Optimal,9.27,7380,=D57 - D56
57,Optimal,9.97,7740,=D58 - D57
58,Optimal,13.52,8280,=D59 - D58
59,Optimal,9.28,8820,=D60 - D59
60,Optimal,7.83,9360,=D61 - D60
61,Optimal,11.16,9900,=D62 - D61
62,Optimal,20.27,10440,=D63 - D62
63,Optimal,9.73,10980,=D64 - D63
64,Optimal,7.64,11520,=D65 - D64
65,Optimal,5.44,12060,=D66 - D65
66,Optimal,5.22,12600,=D67 - D66
67,Optimal,5.20,13320,=D68 - D67
68,Optimal,5.00,14040,=D69 - D68
69,Optimal,7.14,14940,=D70 - D69
70,Optimal,13.69,15840,=D71 - D70
71,Optimal,10.91,16740,=D72 - D71
72,Optimal,12.64,17640,=D73 - D72
73,Optimal,15.45,18540,=D74 - D73
74,Optimal,14.39,19440,=D75 - D74
75,Optimal,13.30,20520,=D76 - D75
76,Optimal,23.38,21600,=D77 - D76
77,Optimal,18.16,22680,=D78 - D77
78,Optimal,24.66,23760,=D79 - D78
79,Optimal,25.41,24840,=D80 - D79
80,Optimal,27.44,25920,=D81 - D80
81,Optimal,24.53,27000,=D82 - D81
82,Optimal,26.03,28080,=D83 - D82
83,Optimal,28.20,29160,=D84 - D83
84,Optimal,23.53,30240,=D85 - D84
85,Optimal,20.13,31320,=D86 - D85
86,Optimal,23.09,32400,=D87 - D86
87,Optimal,25.88,33480,=D88 - D87
88,Optimal,27.81,34560,=D89 - D88
89,Optimal,26.81,35640,=D90 - D89
90,Optimal,21.67,36720,=D91 - D90
91,Optimal,17.75,37800,=D92 - D91
92,Optimal,15.13,38880,=D93 - D92
93,Optimal,14.97,40140,=D94 - D93
94,Optimal,9.63,41220,=D95 - D94
95,Optimal,9.81,42480,=D96 - D95
96,Optimal,9.77,43740,=D97 - D96
97,Optimal,12.36,45000,=D98 - D97
98,Optimal,8.45,46260,=D99 - D98
99,Optimal,6.77,47520,=D100 - D99
100,Optimal,6.56,48780,=D101 - D100
101,Optimal,5.52,50040,=D102 - D101
102,Optimal,2.55,51300,=D103 - D102
103,Optimal,1.23,52560,=D104 - D103
104,Optimal,0.77,53820,=D105 - D104
105,Optimal,1.06,55260,=D106 - D105
106,Optimal,0.84,56520,=D107 - D106
107,Optimal,1.17,58140,=D108 - D107
108,Optimal,1.64,59760,=D109 - D108
109,Optimal,0.88,61560,=D110 - D109
110,Optimal,1.94,63360,=D111 - D110
111,Optimal,3.64,65160,=D112 - D111
112,Optimal,1.33,66960,=D113 - D112
113,Optimal,1.42,68760,=D114 - D113
114,Optimal,1.09,70560,=D115 - D114
115,Optimal,0.72,72360,=D116 - D115
116,Optimal,1.64,74160,=D117 - D116
117,Optimal,0.08,75960,=D118 - D117
118,Optimal,0.11,77940,=D119 - D118
119,Optimal,0.06,79920,=D120 - D119
120,Optimal,0.09,81900,=D121 - D120
121,Optimal,0.11,83880,=D122 - D121
122,Optimal,0.03,85860,=D123 - D122
123,Optimal,0.09,87840,=D124 - D123
124,Optimal,0.00,89820,=D125 - D124
