N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.05,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.09,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.05,0,=D11 - D10
11,Optimal,0.05,0,=D12 - D11
12,Optimal,0.03,0,=D13 - D12
13,Optimal,0.02,0,=D14 - D13
14,Optimal,0.06,0,=D15 - D14
15,Optimal,0.06,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.03,0,=D20 - D19
20,Optimal,0.03,0,=D21 - D20
21,Optimal,0.05,0,=D22 - D21
22,Optimal,0.03,0,=D23 - D22
23,Optimal,0.05,0,=D24 - D23
24,Optimal,0.02,0,=D25 - D24
25,Optimal,0.05,0,=D26 - D25
26,Optimal,0.03,0,=D27 - D26
27,Optimal,0.02,0,=D28 - D27
28,Optimal,0.05,0,=D29 - D28
29,Optimal,0.66,180,=D30 - D29
30,Feasible,21600.39,360,=D31 - D30
31,Feasible,21600.20,540,=D32 - D31
32,Feasible,21600.23,720,=D33 - D32
33,Feasible,21600.19,900,=D34 - D33
34,Optimal,13921.19,1080,=D35 - D34
35,Optimal,15981.41,1260,=D36 - D35
36,Optimal,1495.59,1440,=D37 - D36
37,Optimal,7734.19,1620,=D38 - D37
38,Optimal,5000.14,1800,=D39 - D38
39,Optimal,3554.72,1980,=D40 - D39
40,Optimal,372.17,2160,=D41 - D40
41,Optimal,106.88,2340,=D42 - D41
42,Optimal,108.05,2520,=D43 - D42
43,Optimal,124.11,2700,=D44 - D43
44,Optimal,115.80,2880,=D45 - D44
45,Optimal,122.27,3060,=D46 - D45
46,Optimal,29.16,3240,=D47 - D46
47,Optimal,112.31,3420,=D48 - D47
48,Optimal,106.14,3600,=D49 - D48
49,Optimal,28.08,3780,=D50 - D49
50,Optimal,20.08,3960,=D51 - D50
51,Optimal,22.83,4140,=D52 - D51
52,Optimal,25.88,4320,=D53 - D52
53,Optimal,25.58,4500,=D54 - D53
54,Optimal,24.97,4680,=D55 - D54
55,Optimal,27.52,4860,=D56 - D55
56,Optimal,26.64,5040,=D57 - D56
57,Optimal,203.72,5400,=D58 - D57
58,Optimal,71.48,5760,=D59 - D58
59,Optimal,60.61,6120,=D60 - D59
60,Optimal,91.11,6480,=D61 - D60
61,Optimal,92.23,6840,=D62 - D61
62,Optimal,50.78,7200,=D63 - D62
63,Optimal,40.11,7560,=D64 - D63
64,Optimal,46.58,7920,=D65 - D64
65,Optimal,34.61,8280,=D66 - D65
66,Optimal,40.19,8640,=D67 - D66
67,Optimal,52.91,9000,=D68 - D67
68,Optimal,47.58,9360,=D69 - D68
69,Optimal,45.70,9720,=D70 - D69
70,Optimal,51.03,10080,=D71 - D70
71,Optimal,30.31,10440,=D72 - D71
72,Optimal,35.11,10800,=D73 - D72
73,Optimal,27.56,11340,=D74 - D73
74,Optimal,29.98,11880,=D75 - D74
75,Optimal,29.23,12420,=D76 - D75
76,Optimal,24.55,12960,=D77 - D76
77,Optimal,26.72,13500,=D78 - D77
78,Optimal,32.52,14040,=D79 - D78
79,Optimal,32.81,14580,=D80 - D79
80,Optimal,35.58,15120,=D81 - D80
81,Optimal,29.13,15660,=D82 - D81
82,Optimal,24.28,16200,=D83 - D82
83,Optimal,27.09,16740,=D84 - D83
84,Optimal,29.02,17280,=D85 - D84
85,Optimal,28.11,17820,=D86 - D85
86,Optimal,20.64,18360,=D87 - D86
87,Optimal,22.44,19080,=D88 - D87
88,Optimal,28.84,19800,=D89 - D88
89,Optimal,22.48,20700,=D90 - D89
90,Optimal,25.23,21600,=D91 - D90
91,Optimal,27.36,22500,=D92 - D91
92,Optimal,27.53,23400,=D93 - D92
93,Optimal,23.48,24300,=D94 - D93
94,Optimal,23.59,25200,=D95 - D94
95,Optimal,31.48,26280,=D96 - D95
96,Optimal,32.48,27360,=D97 - D96
97,Optimal,41.47,28440,=D98 - D97
98,Optimal,45.55,29520,=D99 - D98
99,Optimal,44.33,30600,=D100 - D99
100,Optimal,49.61,31680,=D101 - D100
101,Optimal,40.58,32760,=D102 - D101
102,Optimal,46.33,33840,=D103 - D102
103,Optimal,47.78,34920,=D104 - D103
104,Optimal,45.73,36000,=D105 - D104
105,Optimal,51.30,37080,=D106 - D105
106,Optimal,43.59,38160,=D107 - D106
107,Optimal,46.59,39240,=D108 - D107
108,Optimal,50.42,40320,=D109 - D108
109,Optimal,45.48,41400,=D110 - D109
110,Optimal,48.05,42480,=D111 - D110
111,Optimal,49.84,43560,=D112 - D111
112,Optimal,55.17,44640,=D113 - D112
113,Optimal,48.56,45720,=D114 - D113
114,Optimal,49.66,46800,=D115 - D114
115,Optimal,39.67,47880,=D116 - D115
116,Optimal,28.95,48960,=D117 - D116
117,Optimal,50.84,50220,=D118 - D117
118,Optimal,26.27,51480,=D119 - D118
119,Optimal,25.08,52740,=D120 - D119
120,Optimal,26.97,54000,=D121 - D120
121,Optimal,20.36,55260,=D122 - D121
122,Optimal,20.58,56520,=D123 - D122
123,Optimal,19.52,57780,=D124 - D123
124,Optimal,17.33,59040,=D125 - D124
125,Optimal,61.41,60300,=D126 - D125
126,Optimal,23.59,61560,=D127 - D126
127,Optimal,49.52,62820,=D128 - D127
128,Optimal,42.61,64080,=D129 - D128
129,Optimal,42.81,65340,=D130 - D129
130,Optimal,40.98,66600,=D131 - D130
131,Optimal,13.47,67860,=D132 - D131
132,Optimal,10.02,69120,=D133 - D132
133,Optimal,6.45,70380,=D134 - D133
134,Optimal,5.38,71640,=D135 - D134
135,Optimal,2.19,72900,=D136 - D135
136,Optimal,0.84,74160,=D137 - D136
137,Optimal,1.17,75600,=D138 - D137
138,Optimal,1.42,77220,=D139 - D138
