N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.06,0,=D3 - D2
3,Optimal,0.06,0,=D4 - D3
4,Optimal,0.06,0,=D5 - D4
5,Optimal,0.05,0,=D6 - D5
6,Optimal,0.14,0,=D7 - D6
7,Optimal,0.09,0,=D8 - D7
8,Optimal,0.16,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.11,0,=D11 - D10
11,Optimal,0.11,0,=D12 - D11
12,Optimal,0.06,0,=D13 - D12
13,Optimal,0.06,0,=D14 - D13
14,Optimal,0.11,0,=D15 - D14
15,Optimal,0.06,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.13,0,=D18 - D17
18,Optimal,0.14,0,=D19 - D18
19,Optimal,0.08,0,=D20 - D19
20,Optimal,0.05,0,=D21 - D20
21,Optimal,0.11,0,=D22 - D21
22,Optimal,0.13,0,=D23 - D22
23,Optimal,0.06,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,0.11,0,=D26 - D25
26,Optimal,0.09,0,=D27 - D26
27,Optimal,0.05,0,=D28 - D27
28,Optimal,0.13,0,=D29 - D28
29,Optimal,0.11,0,=D30 - D29
30,Optimal,0.08,0,=D31 - D30
31,Optimal,0.09,0,=D32 - D31
32,Optimal,0.14,0,=D33 - D32
33,Optimal,0.16,0,=D34 - D33
34,Optimal,0.09,0,=D35 - D34
35,Optimal,0.16,0,=D36 - D35
36,Optimal,0.13,0,=D37 - D36
37,Optimal,0.14,0,=D38 - D37
38,Optimal,1.72,180,=D39 - D38
39,Feasible,21600.20,360,=D40 - D39
40,Feasible,21600.22,540,=D41 - D40
41,Feasible,21600.14,720,=D42 - D41
42,Feasible,21600.44,900,=D43 - D42
43,Feasible,21600.28,1080,=D44 - D43
44,Feasible,21600.22,1260,=D45 - D44
45,Feasible,21600.19,1440,=D46 - D45
46,Feasible,21600.27,1620,=D47 - D46
47,Feasible,21600.23,1800,=D48 - D47
48,Optimal,18273.25,1980,=D49 - D48
49,Optimal,16860.72,2160,=D50 - D49
50,Optimal,14166.70,2340,=D51 - D50
51,Optimal,770.94,2520,=D52 - D51
52,Optimal,122.27,2700,=D53 - D52
53,Optimal,185.91,2880,=D54 - D53
54,Optimal,107.94,3060,=D55 - D54
55,Optimal,103.58,3240,=D56 - D55
56,Optimal,118.67,3420,=D57 - D56
57,Optimal,24.11,3600,=D58 - D57
58,Optimal,22.98,3780,=D59 - D58
59,Optimal,28.55,3960,=D60 - D59
60,Optimal,24.06,4140,=D61 - D60
61,Optimal,28.41,4320,=D62 - D61
62,Optimal,31.63,4500,=D63 - D62
63,Optimal,23.42,4680,=D64 - D63
64,Optimal,24.91,4860,=D65 - D64
65,Optimal,31.11,5040,=D66 - D65
66,Optimal,28.66,5220,=D67 - D66
67,Optimal,28.19,5400,=D68 - D67
68,Optimal,24.97,5580,=D69 - D68
69,Optimal,37.77,5760,=D70 - D69
70,Optimal,26.00,5940,=D71 - D70
71,Optimal,34.97,6120,=D72 - D71
72,Optimal,37.98,6300,=D73 - D72
73,Optimal,38.89,6480,=D74 - D73
74,Optimal,46.25,6660,=D75 - D74
75,Optimal,47.03,7020,=D76 - D75
76,Optimal,78.20,7380,=D77 - D76
77,Optimal,74.88,7740,=D78 - D77
78,Optimal,79.38,8100,=D79 - D78
79,Optimal,42.19,8460,=D80 - D79
80,Optimal,51.45,8820,=D81 - D80
81,Optimal,38.27,9180,=D82 - D81
82,Optimal,49.33,9540,=D83 - D82
83,Optimal,47.55,9900,=D84 - D83
84,Optimal,55.50,10260,=D85 - D84
85,Optimal,40.08,10620,=D86 - D85
86,Optimal,38.80,10980,=D87 - D86
87,Optimal,50.70,11340,=D88 - D87
88,Optimal,47.06,11700,=D89 - D88
89,Optimal,41.16,12060,=D90 - D89
90,Optimal,35.02,12420,=D91 - D90
91,Optimal,24.50,12780,=D92 - D91
92,Optimal,39.09,13140,=D93 - D92
93,Optimal,38.39,13680,=D94 - D93
94,Optimal,24.69,14220,=D95 - D94
95,Optimal,30.66,14760,=D96 - D95
96,Optimal,31.41,15300,=D97 - D96
97,Optimal,27.97,15840,=D98 - D97
98,Optimal,27.47,16380,=D99 - D98
99,Optimal,37.52,16920,=D100 - D99
100,Optimal,29.69,17460,=D101 - D100
101,Optimal,22.70,18000,=D102 - D101
102,Optimal,32.05,18540,=D103 - D102
103,Optimal,15.98,19080,=D104 - D103
104,Optimal,18.92,19620,=D105 - D104
105,Optimal,11.28,20160,=D106 - D105
106,Optimal,12.86,20700,=D107 - D106
107,Optimal,11.92,21420,=D108 - D107
108,Optimal,10.41,22140,=D109 - D108
109,Optimal,13.05,22860,=D110 - D109
110,Optimal,13.59,23580,=D111 - D110
111,Optimal,12.59,24300,=D112 - D111
112,Optimal,18.27,25200,=D113 - D112
113,Optimal,12.38,26100,=D114 - D113
114,Optimal,14.83,27000,=D115 - D114
115,Optimal,20.91,27900,=D116 - D115
116,Optimal,13.14,28800,=D117 - D116
117,Optimal,18.03,29880,=D118 - D117
118,Optimal,25.39,30960,=D119 - D118
119,Optimal,26.06,32040,=D120 - D119
120,Optimal,31.78,33120,=D121 - D120
121,Optimal,41.50,34200,=D122 - D121
122,Optimal,50.88,35280,=D123 - D122
123,Optimal,39.36,36360,=D124 - D123
124,Optimal,43.84,37440,=D125 - D124
125,Optimal,49.67,38520,=D126 - D125
126,Optimal,50.42,39600,=D127 - D126
127,Optimal,52.98,40680,=D128 - D127
128,Optimal,56.78,41760,=D129 - D128
129,Optimal,54.94,42840,=D130 - D129
130,Optimal,58.06,43920,=D131 - D130
131,Optimal,68.84,45000,=D132 - D131
132,Optimal,65.84,46080,=D133 - D132
133,Optimal,52.27,47160,=D134 - D133
134,Optimal,52.98,48240,=D135 - D134
135,Optimal,54.70,49320,=D136 - D135
136,Optimal,53.59,50400,=D137 - D136
137,Optimal,58.25,51480,=D138 - D137
138,Optimal,59.31,52560,=D139 - D138
139,Optimal,60.80,53640,=D140 - D139
140,Optimal,57.41,54720,=D141 - D140
141,Optimal,56.50,55800,=D142 - D141
142,Optimal,58.45,56880,=D143 - D142
143,Optimal,65.83,57960,=D144 - D143
144,Optimal,52.13,59040,=D145 - D144
145,Optimal,48.47,60300,=D146 - D145
146,Optimal,52.22,61560,=D147 - D146
147,Optimal,70.89,62820,=D148 - D147
148,Optimal,120.61,64080,=D149 - D148
149,Optimal,96.67,65340,=D150 - D149
150,Optimal,50.31,66600,=D151 - D150
151,Optimal,86.17,67860,=D152 - D151
152,Optimal,42.64,69120,=D153 - D152
153,Optimal,75.06,70380,=D154 - D153
154,Optimal,46.17,71640,=D155 - D154
155,Optimal,34.94,72900,=D156 - D155
156,Optimal,31.59,74160,=D157 - D156
157,Optimal,60.30,75420,=D158 - D157
158,Optimal,79.45,76680,=D159 - D158
159,Optimal,71.22,77940,=D160 - D159
160,Optimal,92.50,79200,=D161 - D160
161,Optimal,63.66,80460,=D162 - D161
162,Optimal,74.33,81720,=D163 - D162
163,Optimal,64.55,82980,=D164 - D163
164,Optimal,60.03,84240,=D165 - D164
165,Optimal,53.47,85500,=D166 - D165
166,Optimal,46.25,86760,=D167 - D166
167,Optimal,29.80,88020,=D168 - D167
168,Optimal,9.41,89280,=D169 - D168
169,Optimal,5.20,90540,=D170 - D169
170,Optimal,2.25,91800,=D171 - D170
171,Optimal,2.31,93060,=D172 - D171
172,Optimal,1.08,94320,=D173 - D172
173,Optimal,1.59,96120,=D174 - D173
174,Optimal,1.14,97920,=D175 - D174
175,Optimal,3.47,99720,=D176 - D175
176,Optimal,4.42,101520,=D177 - D176
177,Optimal,3.98,103320,=D178 - D177
178,Optimal,2.89,105120,=D179 - D178
179,Optimal,6.45,106920,=D180 - D179
180,Optimal,2.58,108720,=D181 - D180
181,Optimal,5.41,110520,=D182 - D181
182,Optimal,8.31,112320,=D183 - D182
183,Optimal,3.86,114120,=D184 - D183
184,Optimal,7.20,115920,=D185 - D184
185,Optimal,21.69,117720,=D186 - D185
186,Optimal,0.48,119520,=D187 - D186
187,Optimal,0.52,121500,=D188 - D187
188,Optimal,0.83,123480,=D189 - D188
189,Optimal,1.52,125460,=D190 - D189
190,Optimal,0.50,127440,=D191 - D190
191,Optimal,2.80,129420,=D192 - D191
192,Optimal,0.14,131400,=D193 - D192
193,Optimal,0.13,133380,=D194 - D193
194,Optimal,0.20,135360,=D195 - D194
195,Optimal,0.13,137340,=D196 - D195
196,Optimal,0.11,139320,=D197 - D196
197,Optimal,0.08,141300,=D198 - D197
198,Optimal,0.13,143280,=D199 - D198
199,Optimal,0.03,145260,=D200 - D199
