N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.19,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.13,0,=D5 - D4
5,Optimal,0.06,0,=D6 - D5
6,Optimal,0.11,0,=D7 - D6
7,Optimal,0.13,0,=D8 - D7
8,Optimal,0.06,0,=D9 - D8
9,Optimal,0.23,0,=D10 - D9
10,Optimal,0.08,0,=D11 - D10
11,Optimal,0.20,0,=D12 - D11
12,Optimal,0.11,0,=D13 - D12
13,Optimal,0.08,0,=D14 - D13
14,Optimal,0.13,0,=D15 - D14
15,Optimal,0.08,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.13,0,=D18 - D17
18,Optimal,0.14,0,=D19 - D18
19,Optimal,0.06,0,=D20 - D19
20,Optimal,0.11,0,=D21 - D20
21,Optimal,0.14,0,=D22 - D21
22,Optimal,0.14,0,=D23 - D22
23,Optimal,0.14,0,=D24 - D23
24,Optimal,0.14,0,=D25 - D24
25,Optimal,0.09,0,=D26 - D25
26,Optimal,0.13,0,=D27 - D26
27,Optimal,0.13,0,=D28 - D27
28,Optimal,0.11,0,=D29 - D28
29,Optimal,0.08,0,=D30 - D29
30,Optimal,0.11,0,=D31 - D30
31,Optimal,0.13,0,=D32 - D31
32,Optimal,0.09,0,=D33 - D32
33,Optimal,0.08,0,=D34 - D33
34,Optimal,0.11,0,=D35 - D34
35,Optimal,0.06,0,=D36 - D35
36,Optimal,0.11,0,=D37 - D36
37,Optimal,0.06,0,=D38 - D37
38,Optimal,0.14,0,=D39 - D38
39,Optimal,0.06,0,=D40 - D39
40,Optimal,0.06,0,=D41 - D40
41,Optimal,0.09,0,=D42 - D41
42,Optimal,0.11,0,=D43 - D42
43,Optimal,0.13,0,=D44 - D43
44,Optimal,0.06,0,=D45 - D44
45,Optimal,0.11,0,=D46 - D45
46,Optimal,0.08,0,=D47 - D46
47,Optimal,0.14,0,=D48 - D47
48,Optimal,0.06,0,=D49 - D48
49,Optimal,0.06,0,=D50 - D49
50,Optimal,0.14,0,=D51 - D50
51,Optimal,0.08,0,=D52 - D51
52,Optimal,0.09,0,=D53 - D52
53,Optimal,0.14,0,=D54 - D53
54,Optimal,0.13,0,=D55 - D54
55,Optimal,0.14,0,=D56 - D55
56,Optimal,0.11,0,=D57 - D56
57,Optimal,0.13,0,=D58 - D57
58,Optimal,0.08,0,=D59 - D58
59,Optimal,0.16,0,=D60 - D59
60,Optimal,0.11,0,=D61 - D60
61,Optimal,1.31,180,=D62 - D61
62,Feasible,21600.22,360,=D63 - D62
63,Feasible,21600.25,540,=D64 - D63
64,Feasible,21601.16,720,=D65 - D64
65,Feasible,21600.28,900,=D66 - D65
66,Feasible,21600.31,1080,=D67 - D66
67,Optimal,13867.89,1260,=D68 - D67
68,Optimal,523.50,1440,=D69 - D68
69,Optimal,992.44,1620,=D70 - D69
70,Optimal,182.05,1800,=D71 - D70
71,Optimal,112.59,1980,=D72 - D71
72,Optimal,107.14,2160,=D73 - D72
73,Optimal,94.38,2340,=D74 - D73
74,Optimal,96.23,2520,=D75 - D74
75,Optimal,24.20,2700,=D76 - D75
76,Optimal,37.48,2880,=D77 - D76
77,Optimal,25.31,3060,=D78 - D77
78,Optimal,24.81,3240,=D79 - D78
79,Optimal,27.75,3420,=D80 - D79
80,Optimal,29.50,3600,=D81 - D80
81,Optimal,25.00,3780,=D82 - D81
82,Optimal,21.25,3960,=D83 - D82
83,Optimal,24.48,4140,=D84 - D83
84,Optimal,31.78,4320,=D85 - D84
85,Optimal,30.48,4500,=D86 - D85
86,Optimal,24.42,4680,=D87 - D86
87,Optimal,33.25,4860,=D88 - D87
88,Optimal,35.63,5040,=D89 - D88
89,Optimal,26.39,5220,=D90 - D89
90,Optimal,31.39,5400,=D91 - D90
91,Optimal,19.58,5580,=D92 - D91
92,Optimal,12.61,5760,=D93 - D92
93,Optimal,22.63,5940,=D94 - D93
94,Optimal,20.13,6120,=D95 - D94
95,Optimal,19.00,6480,=D96 - D95
96,Optimal,21.33,6660,=D97 - D96
97,Optimal,18.52,6840,=D98 - D97
98,Optimal,23.34,7200,=D99 - D98
99,Optimal,16.89,7560,=D100 - D99
100,Optimal,19.50,7920,=D101 - D100
101,Optimal,23.75,8280,=D102 - D101
102,Optimal,22.56,8640,=D103 - D102
103,Optimal,19.45,9000,=D104 - D103
104,Optimal,19.67,9360,=D105 - D104
105,Optimal,13.30,9720,=D106 - D105
106,Optimal,21.34,10080,=D107 - D106
107,Optimal,17.83,10440,=D108 - D107
108,Optimal,15.69,10800,=D109 - D108
109,Optimal,20.58,11160,=D110 - D109
110,Optimal,16.25,11520,=D111 - D110
111,Optimal,21.17,11880,=D112 - D111
112,Optimal,18.25,12240,=D113 - D112
113,Optimal,15.98,12600,=D114 - D113
114,Optimal,31.58,12960,=D115 - D114
115,Optimal,27.44,13320,=D116 - D115
116,Optimal,29.59,13680,=D117 - D116
117,Optimal,30.61,14220,=D118 - D117
118,Optimal,30.88,14760,=D119 - D118
119,Optimal,36.19,15300,=D120 - D119
120,Optimal,39.03,15840,=D121 - D120
121,Optimal,46.91,16380,=D122 - D121
122,Optimal,42.27,16920,=D123 - D122
123,Optimal,47.59,17460,=D124 - D123
124,Optimal,41.80,18000,=D125 - D124
125,Optimal,41.73,18540,=D126 - D125
126,Optimal,44.98,19080,=D127 - D126
127,Optimal,38.86,19620,=D128 - D127
128,Optimal,33.48,20160,=D129 - D128
129,Optimal,46.38,20700,=D130 - D129
130,Optimal,32.83,21240,=D131 - D130
131,Optimal,37.45,21780,=D132 - D131
132,Optimal,41.11,22320,=D133 - D132
133,Optimal,39.97,22860,=D134 - D133
134,Optimal,43.19,23400,=D135 - D134
135,Optimal,40.05,23940,=D136 - D135
136,Optimal,30.47,24660,=D137 - D136
137,Optimal,32.66,25380,=D138 - D137
138,Optimal,31.67,26100,=D139 - D138
139,Optimal,24.72,26820,=D140 - D139
140,Optimal,35.06,27540,=D141 - D140
141,Optimal,18.55,28260,=D142 - D141
142,Optimal,29.50,28980,=D143 - D142
143,Optimal,28.44,29700,=D144 - D143
144,Optimal,26.42,30420,=D145 - D144
145,Optimal,27.59,31140,=D146 - D145
146,Optimal,26.38,31860,=D147 - D146
147,Optimal,28.67,32580,=D148 - D147
148,Optimal,28.31,33300,=D149 - D148
149,Optimal,25.89,34020,=D150 - D149
150,Optimal,27.97,34740,=D151 - D150
151,Optimal,45.20,35460,=D152 - D151
152,Optimal,32.61,36180,=D153 - D152
153,Optimal,26.75,36900,=D154 - D153
154,Optimal,31.05,37620,=D155 - D154
155,Optimal,26.94,38340,=D156 - D155
156,Optimal,27.30,39060,=D157 - D156
157,Optimal,35.02,39780,=D158 - D157
158,Optimal,30.89,40500,=D159 - D158
159,Optimal,28.06,41220,=D160 - D159
160,Optimal,26.28,41940,=D161 - D160
161,Optimal,27.56,42660,=D162 - D161
162,Optimal,20.28,43380,=D163 - D162
163,Optimal,14.95,44100,=D164 - D163
164,Optimal,11.25,44820,=D165 - D164
165,Optimal,10.16,45720,=D166 - D165
166,Optimal,13.59,46620,=D167 - D166
167,Optimal,16.55,47520,=D168 - D167
168,Optimal,13.39,48600,=D169 - D168
169,Optimal,19.33,49680,=D170 - D169
170,Optimal,19.33,50760,=D171 - D170
