N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.00,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.06,0,=D5 - D4
5,Optimal,0.08,0,=D6 - D5
6,Optimal,0.00,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.02,0,=D9 - D8
9,Optimal,0.02,0,=D10 - D9
10,Optimal,0.00,0,=D11 - D10
11,Optimal,0.16,0,=D12 - D11
12,Optimal,0.00,0,=D13 - D12
13,Optimal,0.08,0,=D14 - D13
14,Optimal,0.67,180,=D15 - D14
15,Optimal,0.91,360,=D16 - D15
16,Optimal,1.97,540,=D17 - D16
17,Optimal,0.97,720,=D18 - D17
18,Optimal,1.11,900,=D19 - D18
19,Optimal,1.28,1080,=D20 - D19
20,Optimal,0.63,1260,=D21 - D20
21,Optimal,0.69,1440,=D22 - D21
22,Optimal,0.58,1800,=D23 - D22
23,Optimal,0.77,2160,=D24 - D23
24,Optimal,0.53,2520,=D25 - D24
25,Optimal,0.66,2880,=D26 - D25
26,Optimal,0.45,3240,=D27 - D26
27,Optimal,0.39,3780,=D28 - D27
28,Optimal,0.47,4500,=D29 - D28
29,Optimal,0.73,5220,=D30 - D29
30,Optimal,0.45,5940,=D31 - D30
31,Optimal,0.44,6660,=D32 - D31
32,Optimal,0.50,7380,=D33 - D32
33,Optimal,0.52,8100,=D34 - D33
34,Optimal,0.45,8820,=D35 - D34
35,Optimal,0.55,9540,=D36 - D35
36,Optimal,0.41,10260,=D37 - D36
37,Optimal,0.34,10980,=D38 - D37
38,Optimal,0.81,11700,=D39 - D38
39,Optimal,1.50,12600,=D40 - D39
40,Optimal,0.36,13860,=D41 - D40
41,Optimal,1.09,15120,=D42 - D41
42,Optimal,0.47,16380,=D43 - D42
43,Optimal,0.78,17640,=D44 - D43
44,Optimal,1.11,18900,=D45 - D44
45,Optimal,0.05,20160,=D46 - D45
46,Optimal,0.02,21600,=D47 - D46
47,Optimal,0.06,23040,=D48 - D47
48,Optimal,0.08,24480,=D49 - D48
49,Optimal,0.08,25920,=D50 - D49
50,Optimal,0.00,27360,=D51 - D50
