N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.00,0,=D3 - D2
3,Optimal,0.00,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.00,0,=D6 - D5
6,Optimal,0.00,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.08,0,=D9 - D8
9,Optimal,0.02,0,=D10 - D9
10,Optimal,0.08,0,=D11 - D10
11,Optimal,0.00,0,=D12 - D11
12,Optimal,0.02,0,=D13 - D12
13,Optimal,0.06,0,=D14 - D13
14,Optimal,0.00,0,=D15 - D14
15,Optimal,0.05,0,=D16 - D15
16,Optimal,0.00,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.09,0,=D19 - D18
19,Optimal,0.00,0,=D20 - D19
20,Optimal,0.45,180,=D21 - D20
21,Optimal,2.14,360,=D22 - D21
22,Optimal,1.61,540,=D23 - D22
23,Optimal,1.69,720,=D24 - D23
24,Optimal,1.63,900,=D25 - D24
25,Optimal,1.11,1080,=D26 - D25
26,Optimal,2.11,1260,=D27 - D26
27,Optimal,1.05,1440,=D28 - D27
28,Optimal,0.97,1620,=D29 - D28
29,Optimal,1.17,1800,=D30 - D29
30,Optimal,1.50,1980,=D31 - D30
31,Optimal,1.22,2340,=D32 - D31
32,Optimal,1.31,2700,=D33 - D32
33,Optimal,1.41,3060,=D34 - D33
34,Optimal,2.38,3420,=D35 - D34
35,Optimal,1.25,3780,=D36 - D35
36,Optimal,1.31,4140,=D37 - D36
37,Optimal,1.13,4500,=D38 - D37
38,Optimal,2.23,5040,=D39 - D38
39,Optimal,1.73,5580,=D40 - D39
40,Optimal,2.30,6300,=D41 - D40
41,Optimal,2.92,7020,=D42 - D41
42,Optimal,3.47,7740,=D43 - D42
43,Optimal,2.41,8460,=D44 - D43
44,Optimal,3.19,9180,=D45 - D44
45,Optimal,2.39,9900,=D46 - D45
46,Optimal,2.13,10620,=D47 - D46
47,Optimal,2.22,11340,=D48 - D47
48,Optimal,2.50,12060,=D49 - D48
49,Optimal,3.34,12780,=D50 - D49
50,Optimal,1.48,13500,=D51 - D50
51,Optimal,0.97,14220,=D52 - D51
52,Optimal,0.69,14940,=D53 - D52
53,Optimal,0.45,15660,=D54 - D53
54,Optimal,0.34,16380,=D55 - D54
55,Optimal,0.33,17280,=D56 - D55
56,Optimal,0.44,18180,=D57 - D56
57,Optimal,0.41,19260,=D58 - D57
58,Optimal,0.70,20520,=D59 - D58
59,Optimal,0.48,21780,=D60 - D59
60,Optimal,0.27,23040,=D61 - D60
61,Optimal,0.64,24300,=D62 - D61
62,Optimal,0.55,25560,=D63 - D62
63,Optimal,0.58,26820,=D64 - D63
64,Optimal,0.08,28080,=D65 - D64
65,Optimal,0.08,29520,=D66 - D65
66,Optimal,0.08,30960,=D67 - D66
67,Optimal,0.06,32400,=D68 - D67
68,Optimal,0.03,33840,=D69 - D68
69,Optimal,0.08,35280,=D70 - D69
70,Optimal,0.02,36720,=D71 - D70
