N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.00,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.09,0,=D6 - D5
6,Optimal,0.16,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.00,0,=D9 - D8
9,Optimal,0.00,0,=D10 - D9
10,Optimal,0.02,0,=D11 - D10
11,Optimal,0.00,0,=D12 - D11
12,Optimal,0.02,0,=D13 - D12
13,Optimal,0.00,0,=D14 - D13
14,Optimal,0.00,0,=D15 - D14
15,Optimal,0.00,0,=D16 - D15
16,Optimal,0.00,0,=D17 - D16
17,Optimal,0.08,0,=D18 - D17
18,Optimal,0.00,0,=D19 - D18
19,Optimal,0.02,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.31,180,=D22 - D21
22,Optimal,11.86,360,=D23 - D22
23,Optimal,2.17,540,=D24 - D23
24,Optimal,3.02,720,=D25 - D24
25,Optimal,2.27,900,=D26 - D25
26,Optimal,1.47,1080,=D27 - D26
27,Optimal,2.50,1260,=D28 - D27
28,Optimal,1.33,1440,=D29 - D28
29,Optimal,2.23,1620,=D30 - D29
30,Optimal,1.88,1800,=D31 - D30
31,Optimal,1.75,1980,=D32 - D31
32,Optimal,1.30,2160,=D33 - D32
33,Optimal,2.22,2520,=D34 - D33
34,Optimal,2.19,2880,=D35 - D34
35,Optimal,2.69,3240,=D36 - D35
36,Optimal,2.08,3600,=D37 - D36
37,Optimal,2.63,3960,=D38 - D37
38,Optimal,2.03,4320,=D39 - D38
39,Optimal,3.19,4680,=D40 - D39
40,Optimal,1.75,5040,=D41 - D40
41,Optimal,2.84,5580,=D42 - D41
42,Optimal,2.16,6120,=D43 - D42
43,Optimal,3.45,6660,=D44 - D43
44,Optimal,5.55,7380,=D45 - D44
45,Optimal,4.80,8100,=D46 - D45
46,Optimal,3.39,8820,=D47 - D46
47,Optimal,3.06,9540,=D48 - D47
48,Optimal,3.47,10260,=D49 - D48
49,Optimal,3.11,10980,=D50 - D49
50,Optimal,2.84,11700,=D51 - D50
51,Optimal,2.47,12420,=D52 - D51
52,Optimal,2.52,13140,=D53 - D52
53,Optimal,3.55,13860,=D54 - D53
54,Optimal,3.66,14580,=D55 - D54
55,Optimal,2.16,15300,=D56 - D55
56,Optimal,1.02,16020,=D57 - D56
57,Optimal,0.67,16740,=D58 - D57
58,Optimal,0.83,17460,=D59 - D58
59,Optimal,0.44,18180,=D60 - D59
60,Optimal,0.33,19080,=D61 - D60
61,Optimal,0.77,20160,=D62 - D61
62,Optimal,0.42,21420,=D63 - D62
63,Optimal,0.50,22680,=D64 - D63
64,Optimal,0.45,23940,=D65 - D64
65,Optimal,0.36,25200,=D66 - D65
66,Optimal,1.52,26460,=D67 - D66
67,Optimal,0.95,27720,=D68 - D67
68,Optimal,0.73,28980,=D69 - D68
69,Optimal,0.06,30240,=D70 - D69
70,Optimal,0.03,31680,=D71 - D70
71,Optimal,0.11,33120,=D72 - D71
72,Optimal,0.06,34560,=D73 - D72
73,Optimal,0.05,36000,=D74 - D73
74,Optimal,0.02,37440,=D75 - D74
75,Optimal,0.02,38880,=D76 - D75
76,Optimal,0.00,40320,=D77 - D76
