N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.00,0,=D3 - D2
3,Optimal,0.00,0,=D4 - D3
4,Optimal,0.00,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.02,0,=D7 - D6
7,Optimal,0.08,0,=D8 - D7
8,Optimal,0.02,0,=D9 - D8
9,Optimal,0.00,0,=D10 - D9
10,Optimal,0.00,0,=D11 - D10
11,Optimal,0.02,0,=D12 - D11
12,Optimal,0.02,0,=D13 - D12
13,Optimal,0.02,0,=D14 - D13
14,Optimal,0.02,0,=D15 - D14
15,Optimal,0.00,0,=D16 - D15
16,Optimal,0.02,0,=D17 - D16
17,Optimal,0.02,0,=D18 - D17
18,Optimal,0.00,0,=D19 - D18
19,Optimal,0.23,180,=D20 - D19
20,Optimal,2.59,360,=D21 - D20
21,Optimal,1.08,540,=D22 - D21
22,Optimal,1.81,720,=D23 - D22
23,Optimal,1.73,900,=D24 - D23
24,Optimal,1.22,1080,=D25 - D24
25,Optimal,0.92,1260,=D26 - D25
26,Optimal,1.66,1440,=D27 - D26
27,Optimal,1.28,1620,=D28 - D27
28,Optimal,4.33,1800,=D29 - D28
29,Optimal,1.98,1980,=D30 - D29
30,Optimal,1.80,2340,=D31 - D30
31,Optimal,1.81,2700,=D32 - D31
32,Optimal,2.13,3060,=D33 - D32
33,Optimal,1.73,3420,=D34 - D33
34,Optimal,2.03,3780,=D35 - D34
35,Optimal,1.48,4140,=D36 - D35
36,Optimal,3.08,4500,=D37 - D36
37,Optimal,2.72,5040,=D38 - D37
38,Optimal,4.00,5580,=D39 - D38
39,Optimal,2.59,6120,=D40 - D39
40,Optimal,2.92,6840,=D41 - D40
41,Optimal,3.14,7560,=D42 - D41
42,Optimal,3.28,8280,=D43 - D42
43,Optimal,3.41,9000,=D44 - D43
44,Optimal,1.63,9720,=D45 - D44
45,Optimal,2.30,10440,=D46 - D45
46,Optimal,2.50,11160,=D47 - D46
47,Optimal,2.97,11880,=D48 - D47
48,Optimal,1.89,12600,=D49 - D48
49,Optimal,1.73,13320,=D50 - D49
50,Optimal,0.69,14040,=D51 - D50
51,Optimal,0.42,14760,=D52 - D51
52,Optimal,0.38,15480,=D53 - D52
53,Optimal,0.41,16200,=D54 - D53
54,Optimal,0.34,16920,=D55 - D54
55,Optimal,0.50,18000,=D56 - D55
56,Optimal,0.39,19260,=D57 - D56
57,Optimal,1.53,20520,=D58 - D57
58,Optimal,1.00,21780,=D59 - D58
59,Optimal,0.34,23040,=D60 - D59
60,Optimal,0.45,24300,=D61 - D60
61,Optimal,0.81,25560,=D62 - D61
62,Optimal,0.38,26820,=D63 - D62
63,Optimal,0.05,28260,=D64 - D63
64,Optimal,0.00,29700,=D65 - D64
65,Optimal,0.03,31140,=D66 - D65
66,Optimal,0.02,32580,=D67 - D66
67,Optimal,0.02,34020,=D68 - D67
68,Optimal,0.03,35460,=D69 - D68
69,Optimal,0.00,36900,=D70 - D69
