N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.09,0,=D4 - D3
4,Optimal,0.11,0,=D5 - D4
5,Optimal,0.11,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.02,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.03,0,=D13 - D12
13,Optimal,0.05,0,=D14 - D13
14,Optimal,0.05,0,=D15 - D14
15,Optimal,0.11,0,=D16 - D15
16,Optimal,0.05,0,=D17 - D16
17,Optimal,0.05,0,=D18 - D17
18,Optimal,0.02,0,=D19 - D18
19,Optimal,0.08,0,=D20 - D19
20,Optimal,0.20,0,=D21 - D20
21,Optimal,0.05,0,=D22 - D21
22,Optimal,0.05,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,0.09,0,=D26 - D25
26,Optimal,0.09,0,=D27 - D26
27,Optimal,0.05,0,=D28 - D27
28,Optimal,0.06,0,=D29 - D28
29,Optimal,0.11,0,=D30 - D29
30,Optimal,0.06,0,=D31 - D30
31,Optimal,0.09,0,=D32 - D31
32,Optimal,0.09,0,=D33 - D32
33,Optimal,0.14,0,=D34 - D33
34,Optimal,0.13,0,=D35 - D34
35,Optimal,0.08,0,=D36 - D35
36,Optimal,0.88,180,=D37 - D36
37,Feasible,21600.09,360,=D38 - D37
38,Feasible,21600.47,540,=D39 - D38
39,Optimal,10861.44,720,=D40 - D39
40,Optimal,3635.70,900,=D41 - D40
41,Optimal,1054.00,1080,=D42 - D41
42,Optimal,245.55,1260,=D43 - D42
43,Optimal,97.03,1440,=D44 - D43
44,Optimal,101.02,1620,=D45 - D44
45,Optimal,90.88,1800,=D46 - D45
46,Optimal,266.78,1980,=D47 - D46
47,Optimal,86.84,2160,=D48 - D47
48,Optimal,24.13,2340,=D49 - D48
49,Optimal,31.73,2520,=D50 - D49
50,Optimal,29.48,2700,=D51 - D50
51,Optimal,21.11,2880,=D52 - D51
52,Optimal,14.86,3060,=D53 - D52
53,Optimal,22.05,3240,=D54 - D53
54,Optimal,16.08,3420,=D55 - D54
55,Optimal,16.69,3600,=D56 - D55
56,Optimal,16.56,3780,=D57 - D56
57,Optimal,16.27,3960,=D58 - D57
58,Optimal,15.08,4140,=D59 - D58
59,Optimal,16.91,4320,=D60 - D59
60,Optimal,21.48,4500,=D61 - D60
61,Optimal,10.30,4680,=D62 - D61
62,Optimal,27.50,4860,=D63 - D62
63,Optimal,22.75,5040,=D64 - D63
64,Optimal,27.80,5220,=D65 - D64
65,Optimal,10.25,5400,=D66 - D65
66,Optimal,11.19,5580,=D67 - D66
67,Optimal,8.30,5760,=D68 - D67
68,Optimal,7.03,5940,=D69 - D68
69,Optimal,7.38,6300,=D70 - D69
70,Optimal,12.02,6840,=D71 - D70
71,Optimal,15.02,7380,=D72 - D71
72,Optimal,18.16,7920,=D73 - D72
73,Optimal,21.55,8460,=D74 - D73
74,Optimal,20.88,9000,=D75 - D74
75,Optimal,16.41,9540,=D76 - D75
76,Optimal,20.16,10080,=D77 - D76
77,Optimal,12.70,10620,=D78 - D77
78,Optimal,18.30,11160,=D79 - D78
79,Optimal,23.03,11700,=D80 - D79
80,Optimal,16.17,12240,=D81 - D80
81,Optimal,33.05,12780,=D82 - D81
82,Optimal,24.11,13320,=D83 - D82
83,Optimal,17.58,13860,=D84 - D83
84,Optimal,20.63,14400,=D85 - D84
85,Optimal,14.05,14940,=D86 - D85
86,Optimal,20.09,15660,=D87 - D86
87,Optimal,20.44,16380,=D88 - D87
88,Optimal,17.31,17100,=D89 - D88
89,Optimal,20.05,17820,=D90 - D89
90,Optimal,13.30,18540,=D91 - D90
91,Optimal,18.23,19260,=D92 - D91
92,Optimal,12.06,19980,=D93 - D92
93,Optimal,19.38,20700,=D94 - D93
94,Optimal,21.08,21420,=D95 - D94
95,Optimal,15.19,22140,=D96 - D95
96,Optimal,21.75,22860,=D97 - D96
97,Optimal,20.16,23580,=D98 - D97
98,Optimal,20.28,24300,=D99 - D98
99,Optimal,18.66,25020,=D100 - D99
100,Optimal,20.36,25740,=D101 - D100
101,Optimal,13.00,26460,=D102 - D101
102,Optimal,14.45,27360,=D103 - D102
103,Optimal,9.45,28260,=D104 - D103
104,Optimal,8.66,29160,=D105 - D104
105,Optimal,6.95,30060,=D106 - D105
106,Optimal,8.64,30960,=D107 - D106
107,Optimal,11.50,31860,=D108 - D107
108,Optimal,12.17,32760,=D109 - D108
109,Optimal,15.44,33840,=D110 - D109
110,Optimal,14.94,34740,=D111 - D110
111,Optimal,14.98,35820,=D112 - D111
112,Optimal,8.98,36720,=D113 - D112
113,Optimal,17.31,37800,=D114 - D113
114,Optimal,17.56,38700,=D115 - D114
115,Optimal,16.44,39780,=D116 - D115
116,Optimal,13.84,40680,=D117 - D116
117,Optimal,16.70,41580,=D118 - D117
118,Optimal,14.42,42660,=D119 - D118
119,Optimal,13.31,43560,=D120 - D119
120,Optimal,13.58,44640,=D121 - D120
121,Optimal,11.83,45540,=D122 - D121
122,Optimal,11.16,46440,=D123 - D122
123,Optimal,9.39,47340,=D124 - D123
124,Optimal,9.38,48420,=D125 - D124
125,Optimal,5.30,49320,=D126 - D125
126,Optimal,5.72,50400,=D127 - D126
127,Optimal,9.25,51300,=D128 - D127
128,Optimal,6.39,52380,=D129 - D128
129,Optimal,4.08,53280,=D130 - D129
130,Optimal,2.20,54360,=D131 - D130
131,Optimal,1.98,55260,=D132 - D131
132,Optimal,1.39,56160,=D133 - D132
133,Optimal,0.66,57240,=D134 - D133
134,Optimal,0.11,58500,=D135 - D134
135,Optimal,0.14,59940,=D136 - D135
136,Optimal,0.14,61380,=D137 - D136
137,Optimal,0.13,62820,=D138 - D137
138,Optimal,0.09,64440,=D139 - D138
