N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.06,0,=D9 - D8
9,Optimal,0.00,0,=D10 - D9
10,Optimal,0.05,0,=D11 - D10
11,Optimal,0.02,0,=D12 - D11
12,Optimal,0.08,0,=D13 - D12
13,Optimal,0.00,0,=D14 - D13
14,Optimal,0.02,0,=D15 - D14
15,Optimal,0.00,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.06,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.02,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.08,0,=D22 - D21
22,Optimal,0.00,0,=D23 - D22
23,Optimal,0.00,0,=D24 - D23
24,Optimal,0.03,0,=D25 - D24
25,Optimal,11.27,180,=D26 - D25
26,Optimal,78.47,360,=D27 - D26
27,Optimal,23.16,540,=D28 - D27
28,Optimal,21.61,720,=D29 - D28
29,Optimal,29.02,900,=D30 - D29
30,Optimal,20.52,1080,=D31 - D30
31,Optimal,28.63,1260,=D32 - D31
32,Optimal,46.05,1440,=D33 - D32
33,Optimal,30.88,1620,=D34 - D33
34,Optimal,21.45,1980,=D35 - D34
35,Optimal,11.59,2340,=D36 - D35
36,Optimal,503.25,2700,=D37 - D36
37,Optimal,47.45,3060,=D38 - D37
38,Optimal,9.66,3420,=D39 - D38
39,Optimal,75.17,3780,=D40 - D39
40,Optimal,35.59,4140,=D41 - D40
41,Optimal,71.75,4500,=D42 - D41
42,Optimal,23.78,4860,=D43 - D42
43,Optimal,29.63,5220,=D44 - D43
44,Optimal,16.41,5580,=D45 - D44
45,Optimal,23.23,6120,=D46 - D45
46,Optimal,7.80,6660,=D47 - D46
47,Optimal,18.00,7200,=D48 - D47
48,Optimal,14.98,7740,=D49 - D48
49,Optimal,6.69,8460,=D50 - D49
50,Optimal,14.84,9180,=D51 - D50
51,Optimal,11.63,9900,=D52 - D51
52,Optimal,15.47,10620,=D53 - D52
53,Optimal,13.17,11340,=D54 - D53
54,Optimal,45.78,12060,=D55 - D54
55,Optimal,9.94,12780,=D56 - D55
56,Optimal,22.70,13500,=D57 - D56
57,Optimal,18.22,14220,=D58 - D57
58,Optimal,80.47,14940,=D59 - D58
59,Optimal,16.73,15660,=D60 - D59
60,Optimal,19.22,16380,=D61 - D60
61,Optimal,28.73,17100,=D62 - D61
62,Optimal,34.92,17820,=D63 - D62
63,Optimal,75.94,18720,=D64 - D63
64,Optimal,49.78,19620,=D65 - D64
65,Optimal,44.84,20700,=D66 - D65
66,Optimal,34.80,21780,=D67 - D66
67,Optimal,125.75,23040,=D68 - D67
68,Optimal,81.75,24300,=D69 - D68
69,Optimal,121.94,25560,=D70 - D69
70,Optimal,212.53,26820,=D71 - D70
71,Optimal,604.58,28080,=D72 - D71
72,Optimal,460.86,29340,=D73 - D72
73,Optimal,0.06,30600,=D74 - D73
74,Optimal,0.06,32040,=D75 - D74
75,Optimal,0.05,33480,=D76 - D75
76,Optimal,0.06,34920,=D77 - D76
77,Optimal,0.03,36360,=D78 - D77
78,Optimal,0.06,37800,=D79 - D78
79,Optimal,0.03,39240,=D80 - D79
80,Optimal,0.02,40680,=D81 - D80
