N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.08,0,=D4 - D3
4,Optimal,0.05,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.05,0,=D10 - D9
10,Optimal,0.05,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.05,0,=D13 - D12
13,Optimal,0.11,0,=D14 - D13
14,Optimal,0.11,0,=D15 - D14
15,Optimal,0.06,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.02,0,=D20 - D19
20,Optimal,0.06,0,=D21 - D20
21,Optimal,0.03,0,=D22 - D21
22,Optimal,0.03,0,=D23 - D22
23,Optimal,0.11,0,=D24 - D23
24,Optimal,0.03,0,=D25 - D24
25,Optimal,0.11,0,=D26 - D25
26,Optimal,0.03,0,=D27 - D26
27,Optimal,0.03,0,=D28 - D27
28,Optimal,0.03,0,=D29 - D28
29,Optimal,0.03,0,=D30 - D29
30,Optimal,0.05,0,=D31 - D30
31,Optimal,0.11,0,=D32 - D31
32,Optimal,0.05,0,=D33 - D32
33,Optimal,0.03,0,=D34 - D33
34,Optimal,0.09,0,=D35 - D34
35,Optimal,0.08,0,=D36 - D35
36,Optimal,0.09,0,=D37 - D36
37,Optimal,0.13,0,=D38 - D37
38,Optimal,11.78,180,=D39 - D38
39,Optimal,194.67,360,=D40 - D39
40,Optimal,169.95,540,=D41 - D40
41,Optimal,127.77,720,=D42 - D41
42,Optimal,96.63,900,=D43 - D42
43,Optimal,56.80,1080,=D44 - D43
44,Optimal,62.50,1260,=D45 - D44
45,Optimal,39.31,1440,=D46 - D45
46,Optimal,49.09,1620,=D47 - D46
47,Optimal,44.31,1800,=D48 - D47
48,Optimal,53.67,1980,=D49 - D48
49,Optimal,8.78,2160,=D50 - D49
50,Optimal,10.88,2340,=D51 - D50
51,Optimal,38.73,2520,=D52 - D51
52,Optimal,73.48,2700,=D53 - D52
53,Optimal,15.92,2880,=D54 - D53
54,Optimal,8.81,3060,=D55 - D54
55,Optimal,14.47,3240,=D56 - D55
56,Optimal,57.66,3600,=D57 - D56
57,Optimal,12.52,3960,=D58 - D57
58,Optimal,20.16,4320,=D59 - D58
59,Optimal,42.34,4680,=D60 - D59
60,Optimal,8.67,5040,=D61 - D60
61,Optimal,14.80,5400,=D62 - D61
62,Optimal,9.63,5760,=D63 - D62
63,Optimal,10.36,6120,=D64 - D63
64,Optimal,9.72,6480,=D65 - D64
65,Optimal,23.58,6840,=D66 - D65
66,Optimal,5.23,7200,=D67 - D66
67,Optimal,31.55,7560,=D68 - D67
68,Optimal,21.34,7920,=D69 - D68
69,Optimal,33.89,8280,=D70 - D69
70,Optimal,31.47,8640,=D71 - D70
71,Optimal,16.52,9000,=D72 - D71
72,Optimal,22.67,9360,=D73 - D72
73,Optimal,25.17,9900,=D74 - D73
74,Optimal,17.36,10440,=D75 - D74
75,Optimal,44.41,11160,=D76 - D75
76,Optimal,84.52,11880,=D77 - D76
77,Optimal,86.28,12600,=D78 - D77
78,Optimal,48.80,13320,=D79 - D78
79,Optimal,24.70,14040,=D80 - D79
80,Optimal,15.42,14760,=D81 - D80
81,Optimal,25.67,15480,=D82 - D81
82,Optimal,12.22,16200,=D83 - D82
83,Optimal,6.33,16920,=D84 - D83
84,Optimal,10.86,17640,=D85 - D84
85,Optimal,7.20,18360,=D86 - D85
86,Optimal,10.36,19080,=D87 - D86
87,Optimal,11.02,19800,=D88 - D87
88,Optimal,23.81,20520,=D89 - D88
89,Optimal,5.94,21240,=D90 - D89
90,Optimal,8.70,21960,=D91 - D90
91,Optimal,7.28,22680,=D92 - D91
92,Optimal,5.97,23400,=D93 - D92
93,Optimal,10.11,24120,=D94 - D93
94,Optimal,17.31,24840,=D95 - D94
95,Optimal,23.86,25560,=D96 - D95
96,Optimal,16.98,26280,=D97 - D96
97,Optimal,21.88,27000,=D98 - D97
98,Optimal,9.25,27720,=D99 - D98
99,Optimal,15.30,28440,=D100 - D99
100,Optimal,5.14,29340,=D101 - D100
101,Optimal,9.64,30600,=D102 - D101
102,Optimal,6.47,31860,=D103 - D102
103,Optimal,6.81,33120,=D104 - D103
104,Optimal,19.30,34380,=D105 - D104
105,Optimal,37.53,35640,=D106 - D105
106,Optimal,35.31,36900,=D107 - D106
107,Optimal,55.00,38160,=D108 - D107
108,Optimal,46.05,39420,=D109 - D108
109,Optimal,29.63,40680,=D110 - D109
110,Optimal,46.80,41940,=D111 - D110
111,Optimal,32.80,43200,=D112 - D111
112,Optimal,20.72,44460,=D113 - D112
113,Optimal,5.64,45720,=D114 - D113
114,Optimal,9.06,47160,=D115 - D114
115,Optimal,9.55,48600,=D116 - D115
116,Optimal,5.91,50040,=D117 - D116
117,Optimal,3.27,51480,=D118 - D117
118,Optimal,0.05,52920,=D119 - D118
119,Optimal,0.05,54360,=D120 - D119
120,Optimal,0.09,55800,=D121 - D120
121,Optimal,0.06,57240,=D122 - D121
122,Optimal,0.09,58680,=D123 - D122
123,Optimal,0.03,60120,=D124 - D123
124,Optimal,0.11,61560,=D125 - D124
125,Optimal,0.02,63000,=D126 - D125
