N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.08,0,=D3 - D2
3,Optimal,0.13,0,=D4 - D3
4,Optimal,0.14,0,=D5 - D4
5,Optimal,0.09,0,=D6 - D5
6,Optimal,0.09,0,=D7 - D6
7,Optimal,0.08,0,=D8 - D7
8,Optimal,0.08,0,=D9 - D8
9,Optimal,0.13,0,=D10 - D9
10,Optimal,0.09,0,=D11 - D10
11,Optimal,0.08,0,=D12 - D11
12,Optimal,0.08,0,=D13 - D12
13,Optimal,0.17,0,=D14 - D13
14,Optimal,0.09,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.16,0,=D17 - D16
17,Optimal,0.09,0,=D18 - D17
18,Optimal,0.09,0,=D19 - D18
19,Optimal,0.11,0,=D20 - D19
20,Optimal,0.06,0,=D21 - D20
21,Optimal,0.14,0,=D22 - D21
22,Optimal,0.11,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.08,0,=D25 - D24
25,Optimal,0.09,0,=D26 - D25
26,Optimal,0.13,0,=D27 - D26
27,Optimal,0.08,0,=D28 - D27
28,Optimal,0.11,0,=D29 - D28
29,Optimal,0.17,0,=D30 - D29
30,Optimal,0.16,0,=D31 - D30
31,Optimal,0.11,0,=D32 - D31
32,Optimal,0.09,0,=D33 - D32
33,Optimal,0.09,0,=D34 - D33
34,Optimal,0.16,0,=D35 - D34
35,Optimal,0.13,0,=D36 - D35
36,Optimal,0.11,0,=D37 - D36
37,Optimal,0.09,0,=D38 - D37
38,Optimal,0.13,0,=D39 - D38
39,Optimal,0.13,0,=D40 - D39
40,Optimal,0.19,0,=D41 - D40
41,Optimal,0.17,0,=D42 - D41
42,Optimal,0.17,0,=D43 - D42
43,Optimal,0.11,0,=D44 - D43
44,Optimal,0.17,0,=D45 - D44
45,Optimal,0.13,0,=D46 - D45
46,Optimal,0.16,0,=D47 - D46
47,Optimal,0.19,0,=D48 - D47
48,Optimal,0.13,0,=D49 - D48
49,Optimal,0.13,0,=D50 - D49
50,Optimal,0.13,0,=D51 - D50
51,Optimal,0.17,0,=D52 - D51
52,Optimal,0.14,0,=D53 - D52
53,Optimal,0.17,0,=D54 - D53
54,Optimal,0.14,0,=D55 - D54
55,Optimal,0.17,0,=D56 - D55
56,Optimal,0.08,0,=D57 - D56
57,Optimal,0.20,0,=D58 - D57
58,Optimal,0.20,0,=D59 - D58
59,Optimal,0.20,0,=D60 - D59
60,Optimal,24.52,180,=D61 - D60
61,Optimal,3431.42,360,=D62 - D61
62,Optimal,14412.98,540,=D63 - D62
63,Optimal,260.00,720,=D64 - D63
64,Optimal,323.50,900,=D65 - D64
65,Optimal,81.39,1080,=D66 - D65
66,Optimal,120.19,1260,=D67 - D66
67,Optimal,138.81,1440,=D68 - D67
68,Optimal,192.63,1620,=D69 - D68
69,Optimal,142.42,1800,=D70 - D69
70,Optimal,200.16,1980,=D71 - D70
71,Optimal,259.19,2160,=D72 - D71
72,Optimal,57.02,2340,=D73 - D72
73,Optimal,90.63,2520,=D74 - D73
74,Optimal,225.23,2700,=D75 - D74
75,Optimal,49.22,2880,=D76 - D75
76,Optimal,114.23,3060,=D77 - D76
77,Optimal,104.61,3240,=D78 - D77
78,Optimal,145.06,3420,=D79 - D78
79,Optimal,106.22,3600,=D80 - D79
80,Optimal,106.42,3780,=D81 - D80
81,Optimal,37.84,3960,=D82 - D81
82,Optimal,52.61,4140,=D83 - D82
83,Optimal,39.92,4320,=D84 - D83
84,Optimal,30.70,4500,=D85 - D84
85,Optimal,13.00,4680,=D86 - D85
86,Optimal,49.45,5040,=D87 - D86
87,Optimal,32.41,5400,=D88 - D87
88,Optimal,44.61,5760,=D89 - D88
89,Optimal,22.33,6120,=D90 - D89
90,Optimal,22.84,6480,=D91 - D90
91,Optimal,11.06,6840,=D92 - D91
92,Optimal,14.72,7200,=D93 - D92
93,Optimal,11.42,7560,=D94 - D93
94,Optimal,19.42,7920,=D95 - D94
95,Optimal,9.86,8280,=D96 - D95
96,Optimal,15.19,8640,=D97 - D96
97,Optimal,14.45,9000,=D98 - D97
98,Optimal,10.94,9360,=D99 - D98
99,Optimal,21.89,9720,=D100 - D99
100,Optimal,35.64,10080,=D101 - D100
101,Optimal,32.72,10440,=D102 - D101
102,Optimal,19.30,10800,=D103 - D102
103,Optimal,15.23,11160,=D104 - D103
104,Optimal,11.88,11520,=D105 - D104
105,Optimal,17.36,11880,=D106 - D105
106,Optimal,16.00,12240,=D107 - D106
107,Optimal,12.00,12600,=D108 - D107
108,Optimal,14.61,12960,=D109 - D108
109,Optimal,14.55,13320,=D110 - D109
110,Optimal,15.95,13680,=D111 - D110
111,Optimal,33.22,14040,=D112 - D111
112,Optimal,12.44,14400,=D113 - D112
113,Optimal,10.77,14760,=D114 - D113
114,Optimal,48.91,15120,=D115 - D114
115,Optimal,26.19,15480,=D116 - D115
116,Optimal,17.78,15840,=D117 - D116
117,Optimal,95.23,16380,=D118 - D117
118,Optimal,10.92,16920,=D119 - D118
119,Optimal,29.06,17460,=D120 - D119
120,Optimal,36.98,18000,=D121 - D120
121,Optimal,11.55,18540,=D122 - D121
122,Optimal,16.55,19080,=D123 - D122
123,Optimal,15.45,19620,=D124 - D123
124,Optimal,33.27,20340,=D125 - D124
125,Optimal,305.78,21060,=D126 - D125
126,Optimal,58.00,21780,=D127 - D126
127,Optimal,47.25,22500,=D128 - D127
128,Optimal,43.42,23220,=D129 - D128
129,Optimal,19.97,23940,=D130 - D129
130,Optimal,32.09,24660,=D131 - D130
131,Optimal,30.66,25380,=D132 - D131
132,Optimal,14.67,26100,=D133 - D132
133,Optimal,14.39,26820,=D134 - D133
134,Optimal,17.31,27540,=D135 - D134
135,Optimal,28.39,28260,=D136 - D135
136,Optimal,16.08,28980,=D137 - D136
137,Optimal,27.86,29700,=D138 - D137
138,Optimal,26.75,30420,=D139 - D138
139,Optimal,33.23,31140,=D140 - D139
140,Optimal,29.66,31860,=D141 - D140
141,Optimal,19.64,32580,=D142 - D141
142,Optimal,37.80,33300,=D143 - D142
143,Optimal,30.44,34020,=D144 - D143
144,Optimal,32.72,34740,=D145 - D144
145,Optimal,36.30,35460,=D146 - D145
146,Optimal,36.58,36180,=D147 - D146
147,Optimal,25.17,36900,=D148 - D147
148,Optimal,14.81,37620,=D149 - D148
149,Optimal,10.41,38520,=D150 - D149
150,Optimal,12.78,39420,=D151 - D150
151,Optimal,23.27,40320,=D152 - D151
152,Optimal,9.48,41220,=D153 - D152
153,Optimal,8.42,42120,=D154 - D153
154,Optimal,18.13,43020,=D155 - D154
155,Optimal,12.03,43920,=D156 - D155
156,Optimal,11.09,45000,=D157 - D156
157,Optimal,8.61,46080,=D158 - D157
158,Optimal,6.72,47160,=D159 - D158
159,Optimal,6.78,48240,=D160 - D159
160,Optimal,15.19,49320,=D161 - D160
161,Optimal,12.22,50400,=D162 - D161
162,Optimal,16.22,51480,=D163 - D162
163,Optimal,23.50,52560,=D164 - D163
164,Optimal,21.95,53640,=D165 - D164
165,Optimal,37.11,54720,=D166 - D165
166,Optimal,21.66,55800,=D167 - D166
167,Optimal,7.86,57060,=D168 - D167
168,Optimal,11.14,58320,=D169 - D168
169,Optimal,9.19,59580,=D170 - D169
170,Optimal,25.44,60840,=D171 - D170
171,Optimal,31.75,62100,=D172 - D171
172,Optimal,26.97,63360,=D173 - D172
173,Optimal,22.92,64620,=D174 - D173
174,Optimal,34.47,65880,=D175 - D174
175,Optimal,17.31,67140,=D176 - D175
176,Optimal,21.02,68400,=D177 - D176
177,Optimal,21.19,69660,=D178 - D177
178,Optimal,20.11,70920,=D179 - D178
179,Optimal,45.98,72180,=D180 - D179
180,Optimal,27.00,73440,=D181 - D180
181,Optimal,3.66,74700,=D182 - D181
182,Optimal,1.44,76140,=D183 - D182
183,Optimal,4.38,77580,=D184 - D183
184,Optimal,3.30,79020,=D185 - D184
185,Optimal,4.25,80460,=D186 - D185
186,Optimal,0.13,81900,=D187 - D186
187,Optimal,0.20,83340,=D188 - D187
188,Optimal,0.23,84780,=D189 - D188
189,Optimal,0.11,86220,=D190 - D189
190,Optimal,0.16,87660,=D191 - D190
191,Optimal,0.06,89100,=D192 - D191
192,Optimal,0.23,90540,=D193 - D192
193,Optimal,0.14,91980,=D194 - D193
194,Optimal,0.20,93420,=D195 - D194
195,Optimal,0.19,94860,=D196 - D195
196,Optimal,0.09,96300,=D197 - D196
197,Optimal,0.06,97740,=D198 - D197
198,Optimal,0.11,99180,=D199 - D198
199,Optimal,0.09,100620,=D200 - D199
200,Optimal,0.08,102060,=D201 - D200
201,Optimal,0.13,103500,=D202 - D201
202,Optimal,0.09,104940,=D203 - D202
203,Optimal,0.03,106380,=D204 - D203
