N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.02,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.02,0,=D9 - D8
9,Optimal,0.02,0,=D10 - D9
10,Optimal,0.02,0,=D11 - D10
11,Optimal,0.02,0,=D12 - D11
12,Optimal,0.02,0,=D13 - D12
13,Optimal,0.02,0,=D14 - D13
14,Optimal,0.02,0,=D15 - D14
15,Optimal,0.02,0,=D16 - D15
16,Optimal,0.02,0,=D17 - D16
17,Optimal,0.02,0,=D18 - D17
18,Optimal,0.02,0,=D19 - D18
19,Optimal,0.02,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.02,0,=D22 - D21
22,Optimal,0.02,0,=D23 - D22
23,Optimal,0.02,0,=D24 - D23
24,Optimal,0.00,0,=D25 - D24
25,Optimal,0.02,180,=D26 - D25
26,Optimal,0.00,360,=D27 - D26
27,Optimal,0.02,540,=D28 - D27
28,Optimal,0.02,720,=D29 - D28
29,Optimal,0.02,900,=D30 - D29
30,Optimal,0.02,1080,=D31 - D30
31,Optimal,0.02,1260,=D32 - D31
32,Optimal,0.02,1440,=D33 - D32
33,Optimal,0.02,1620,=D34 - D33
34,Optimal,0.02,1800,=D35 - D34
35,Optimal,0.02,1980,=D36 - D35
36,Optimal,0.02,2160,=D37 - D36
37,Optimal,0.00,2340,=D38 - D37
38,Optimal,0.00,2520,=D39 - D38
39,Optimal,0.02,2880,=D40 - D39
40,Optimal,0.02,3240,=D41 - D40
41,Optimal,0.02,3600,=D42 - D41
42,Optimal,0.02,3960,=D43 - D42
43,Optimal,0.02,4320,=D44 - D43
44,Optimal,0.02,4680,=D45 - D44
45,Optimal,0.02,5040,=D46 - D45
46,Optimal,0.02,5400,=D47 - D46
47,Optimal,0.02,5760,=D48 - D47
48,Optimal,0.00,6120,=D49 - D48
49,Optimal,0.02,6480,=D50 - D49
50,Optimal,0.02,6840,=D51 - D50
51,Optimal,0.02,7200,=D52 - D51
52,Optimal,0.00,7560,=D53 - D52
53,Optimal,0.02,7920,=D54 - D53
54,Optimal,0.02,8280,=D55 - D54
55,Optimal,0.02,8640,=D56 - D55
56,Optimal,0.02,9000,=D57 - D56
57,Optimal,0.02,9540,=D58 - D57
58,Optimal,0.02,10080,=D59 - D58
59,Optimal,0.02,10620,=D60 - D59
60,Optimal,0.02,11160,=D61 - D60
61,Optimal,0.02,11880,=D62 - D61
62,Optimal,0.02,12600,=D63 - D62
63,Optimal,0.02,13320,=D64 - D63
64,Optimal,0.02,14040,=D65 - D64
65,Optimal,0.02,14760,=D66 - D65
66,Optimal,0.02,15480,=D67 - D66
67,Optimal,0.02,16200,=D68 - D67
68,Optimal,0.02,16920,=D69 - D68
69,Optimal,0.02,17640,=D70 - D69
70,Optimal,0.02,18540,=D71 - D70
71,Optimal,0.02,19440,=D72 - D71
72,Optimal,0.02,20340,=D73 - D72
73,Optimal,0.02,21240,=D74 - D73
74,Optimal,0.02,22140,=D75 - D74
75,Optimal,0.02,23040,=D76 - D75
76,Optimal,0.02,24120,=D77 - D76
77,Optimal,0.00,25200,=D78 - D77
78,Optimal,0.02,26280,=D79 - D78
79,Optimal,0.00,27360,=D80 - D79
80,Optimal,0.00,28440,=D81 - D80
81,Optimal,0.02,29520,=D82 - D81
82,Optimal,0.02,30600,=D83 - D82
83,Optimal,0.02,31680,=D84 - D83
84,Optimal,0.02,32760,=D85 - D84
85,Optimal,0.02,33840,=D86 - D85
86,Optimal,0.02,34920,=D87 - D86
87,Optimal,0.02,36180,=D88 - D87
88,Optimal,0.02,37440,=D89 - D88
89,Optimal,0.02,38700,=D90 - D89
90,Optimal,0.02,39960,=D91 - D90
91,Optimal,0.02,41220,=D92 - D91
92,Optimal,0.02,42480,=D93 - D92
93,Optimal,0.02,43740,=D94 - D93
94,Optimal,0.02,45000,=D95 - D94
95,Optimal,0.02,46260,=D96 - D95
96,Optimal,0.02,47520,=D97 - D96
97,Optimal,0.02,48780,=D98 - D97
98,Optimal,0.02,50040,=D99 - D98
99,Optimal,0.02,51300,=D100 - D99
100,Optimal,0.02,52560,=D101 - D100
101,Optimal,0.00,54000,=D102 - D101
102,Optimal,0.00,55440,=D103 - D102
103,Optimal,0.00,57240,=D104 - D103
104,Optimal,0.02,59040,=D105 - D104
105,Optimal,0.02,61020,=D106 - D105
106,Optimal,0.00,63000,=D107 - D106
107,Optimal,0.00,64980,=D108 - D107
108,Optimal,0.02,66960,=D109 - D108
109,Optimal,0.00,68940,=D110 - D109
110,Optimal,0.02,70920,=D111 - D110
